cluster;n_sku;percentage
1;60;1.4847809948032664
2;60;1.4847809948032664
3;58;1.435288294976491
4;49;1.212571145756001
5;46;1.1383320960158376
6;68;1.682751794110369
7;46;1.1383320960158376
8;65;1.6085127443702056
9;106;2.6231130908191043
10;3483;86.19153674832963
