title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton;inventory_quantity
妙管家植萃酵素洗潔精(檸檬清新)1加侖;日用生活;155,0;妙管家;規格：1Gal加侖x1x1BOTTLE瓶;妙管家植萃酵素洗潔精加侖桶;199,0;1;3785,41;36,0;1244;22.11%;1;11050097001;unique_master_match;1;1;ml;1;bottle;155,0;199,0;22,110553;volume;month;22,11;1,0;40,0;24,0;32,0;16,54;4,0;15,0
鷹王檸檬洗潔精-1000ml;日用生活;69,0;鷹王;規格：1000ml毫升x1x1BOTTLE瓶;鷹王檸檬洗潔精 1000ML;0,0;1;1000,0;36,0;1250;0.00%;1;11050104001;unique_master_match;1;1;ml;1;bottle;69,0;0,0;0,0;volume;month;0,0;1,0;31,0;30,0;23,0;13,25;12,0;23,0
易洗樂洗潔精超值大包裝;日用生活;414,0;VINATA 台酒生技;規格：5000ml毫升x1x1BOTTLE瓶;易洗樂洗潔精超值大包裝;445,0;1;5000,0;36,0;1257;6.97%;1;11050123001;unique_master_match;1;1;ml;1;bottle;414,0;445,0;6,966292;volume;month;6,97;1,0;45,0;22,0;31,0;16,6;3,0;176,0
珂珂透Cucute超濃縮洗碗凝露-麝香葡萄香;日用生活;79,0;珂珂透;規格：220ml毫升x1x1PC瓶;珂珂透超濃縮洗碗凝露 洗碗凝露葡萄;85,0;1;220,0;36,0;1265;7.06%;1;11050140002;unique_master_match;1;1;ml;1;pc;79,0;85,0;7,058824;volume;month;7,06;1,0;22,0;16,0;20,0;3,76;12,0;24,0
雷達天然植物噴霧殺蟲劑-500ml;日用生活;69,0;雷達;規格：500ml毫升x1x1Bottle瓶;雷達天然植物噴霧殺蟲劑;0,0;1;500,0;36,0;1361;0.00%;1;11070003001;unique_master_match;1;1;ml;1;bottle;69,0;0,0;0,0;volume;month;0,0;1,0;28,0;21,0;26,0;5,39;12,0;346,0
噴效新蟑螂螞蟻殺蟲劑-600ml;日用生活;80,0;噴效;規格：600ml毫升x1x1Bottle瓶;噴效新蟑螂螞蟻藥;85,0;1;600,0;36,0;1362;5.88%;1;11070004001;unique_master_match;1;1;ml;1;bottle;80,0;85,0;5,882353;volume;month;5,88;1,0;44,0;30,0;28,0;12,41;24,0;669,0
噴效新油性噴霧殺蟲劑;日用生活;60,0;噴效;規格：600ml毫升x1x1Bottle瓶;噴效新油性噴霧殺蟲劑;62,0;1;600,0;36,0;1365;3.23%;1;11070007001;unique_master_match;1;1;ml;1;bottle;60,0;62,0;3,225806;volume;month;3,23;1,0;41,0;27,0;27,0;11,5;24,0;695,333333
雷達雙效殺蟲劑;日用生活;69,0;雷達;規格：500ml毫升x1x1Bottle瓶;雷達雙效殺蟲劑;84,0;1;500,0;36,0;1366;17.86%;0;11070011001;unique_master_match;1;1;ml;1;bottle;69,0;84,0;17,857143;volume;month;17,86;0,0;27,0;21,0;25,0;5,71;12,0;67,0
鱷魚水性蟑螂螞蟻藥;日用生活;99,0;鱷魚;規格：600ml毫升x1x1Bottle瓶;鱷魚水性蟑螂螞蟻藥;0,0;1;600,0;60,0;1367;0.00%;1;11070012001;unique_master_match;1;1;ml;1;bottle;99,0;0,0;0,0;volume;month;0,0;1,0;44,0;29,0;28,0;14,0;24,0;0,666667
必安住跳蚤蟑螂藥600ml;日用生活;78,0;必安住;規格：600ml毫升x1x1Bottle瓶;必安住跳蚤蟑螂藥600ml;100,0;1;600,0;60,0;1368;22.00%;1;11070013001;unique_master_match;1;1;ml;1;bottle;78,0;100,0;22,0;volume;month;22,0;1,0;44,0;29,0;27,0;13,0;24,0;48,0
雷達蟑螂藥-天然尤加利精油500ml;日用生活;125,0;雷達;規格：500ml毫升x1x1Bottle瓶;雷達蟑螂藥-天然尤加利精油;139,0;1;500,0;36,0;1369;10.07%;0;11070014001;unique_master_match;1;1;ml;1;bottle;125,0;139,0;10,071942;volume;month;10,07;0,0;43,0;30,0;27,0;14,65;24,0;15,0
噴效快速殺蟑液--水性配方;日用生活;100,0;噴效;規格：600ml毫升x1x1Can罐;噴效快速殺蟑液--水性配方;0,0;1;600,0;36,0;1370;0.00%;1;11070015001;unique_master_match;1;1;ml;1;can;100,0;0,0;0,0;volume;month;0,0;1,0;43,0;29,0;27,0;13,63;24,0;140,0
噴效新蟑螂螞蟻殺蟲劑-600ml;日用生活;80,0;噴效;規格：600ml毫升x1x1Bottle瓶;雷達殺菌型蟑螂螞蟻藥;85,0;1;600,0;36,0;1371;5.88%;1;11070016001;unique_master_match;1;1;ml;1;bottle;80,0;85,0;5,882353;volume;month;5,88;1,0;54,0;38,0;27,0;14,7;24,0;31,0
雷達廣用殺蟲劑-500ml;日用生活;125,0;雷達;規格：500ml毫升x1x1Bottle瓶;雷達廣用殺蟲劑;142,0;1;500,0;36,0;1373;11.97%;0;11070018001;unique_master_match;1;1;ml;1;bottle;125,0;142,0;11,971831;volume;month;11,97;0,0;54,0;38,0;27,0;14,7;24,0;48,0
家家蟑螂螞蟻跳蚤噴霧殺蟲劑;日用生活;119,0;家家;規格：550ml毫升x1x1PC瓶;家家蟑螂螞蟻跳蚤噴霧殺蟲劑;0,0;1;550,0;36,0;1374;0.00%;1;11070019001;unique_master_match;1;1;ml;1;pc;119,0;0,0;0,0;volume;month;0,0;1,0;27,0;21,0;26,0;6,0;12,0;2,0
必安住白蟻蟑螂跳蚤藥600ml;日用生活;87,0;必安住;規格：600ml毫升x1x1Can罐;必安住白蟻蟑螂跳蚤藥600ml;109,0;1;600,0;36,0;1379;20.18%;1;11070027001;unique_master_match;1;1;ml;1;can;87,0;109,0;20,183486;volume;month;20,18;1,0;44,0;29,0;27,0;12,178;24,0;30,0
雷達快速蟑螂螞蟻藥柑橘精油;日用生活;99,0;雷達;規格：500ml毫升x1x1Bottle瓶;雷達快速蟑螂螞蟻藥柑橘精油;119,0;1;500,0;36,0;1380;16.81%;1;11070029001;unique_master_match;1;1;ml;1;bottle;99,0;119,0;16,806723;volume;month;16,81;1,0;41,0;27,0;26,0;11,26;24,0;285,0
金龍自動噴霧殺蟲劑;日用生活;79,0;金龍;規格：550ml毫升x1x1CAN罐;金龍自動噴霧殺蟲劑 自動噴霧殺蟲劑;0,0;1;550,0;36,0;1388;0.00%;1;11070040001;unique_master_match;1;1;ml;1;can;79,0;0,0;0,0;volume;month;0,0;1,0;43,0;39,0;26,0;12,23;24,0;48,0
金龍蟑螂螞蟻殺蟲劑;日用生活;95,0;金龍;規格：550ml毫升x1x1CAN罐;金龍蟑螂螞蟻殺蟲劑 蟑螂螞蟻殺蟲劑;0,0;1;550,0;36,0;1390;0.00%;1;11070042001;unique_master_match;1;1;ml;1;can;95,0;0,0;0,0;volume;month;0,0;1,0;43,0;39,0;26,0;12,23;24,0;48,0
清檜-天然防蟑螂螞蟻噴劑500ml;日用生活;390,0;清檜;規格：500ml毫升x1x1BOTTLE瓶;康朵 防蟑螂螞蟻噴劑-500ML 防蟑螂螞蟻噴;0,0;1;500,0;24,0;1395;0.00%;0;11070051001;unique_master_match;1;1;ml;1;bottle;390,0;0,0;0,0;volume;month;0,0;0,0;47,0;33,0;25,0;16,5;24,0;48,0
鱷魚水性快速殺蹣滅蟑劑;日用生活;105,0;鱷魚;規格：600ml毫升x1x1Can罐;鱷魚水性快速殺蹣滅蟑劑 快速殺蹣滅蟑劑;0,0;1;600,0;36,0;1396;0.00%;0;11070054001;unique_master_match;1;1;ml;1;can;105,0;0,0;0,0;volume;month;0,0;0,0;44,0;29,0;27,0;13,6;24,0;48,0
