title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton
台糖高級紅糖300g;米油沖泡;35,0;台糖;規格：300g克x1x1Bag包;台糖高級紅糖300克;40,0;1;300,0;24,0;7261;12.50%;1;14370069001;unique_master_match;1;1;g;1;bag;35,0;40,0;12,5;weight;month;12,5;1,0;44,0;35,0;16,0;10,2;30,0
台糖黑糖-300g;米油沖泡;46,0;台糖;規格：300g克x1x1Bag包;台糖黑糖300克;52,0;1;300,0;24,0;7262;11.54%;0;14370072001;unique_master_match;1;1;g;1;bag;46,0;52,0;11,538461538461538;weight;month;11,54;0,0;44,0;35,0;16,0;10,2;30,0
老傳家正宗台灣味傳統黑糖900g;米油沖泡;89,0;老傳家;規格：900g克x1x1Bag包;正宗台灣味傳統黑糖;0,0;1;900,0;24,0;7263;0.00%;1;14370073001;unique_master_match;1;1;g;1;bag;89,0;0,0;0,0;weight;month;0,0;1,0;42,0;34,0;22,0;15,206;16,0
台糖精緻特砂-500g;米油沖泡;19,0;台糖;規格：500g克x1x1Bag包;台糖精緻特砂500克;21,0;1;500,0;30,0;7264;9.52%;1;14370076001;unique_master_match;1;1;g;1;bag;19,0;21,0;9,523809523809524;weight;month;9,52;1,0;40,0;3,0;20,0;21,34;40,0
台灣紅冰糖 600g;米油沖泡;90,0;優;規格：600g克x1x1Bag包;優-台灣紅冰糖;92,0;1;600,0;24,0;7265;2.17%;1;14370077001;unique_master_match;1;1;g;1;bag;90,0;92,0;2,1739130434782608;weight;month;2,17;1,0;34,0;29,0;12,0;7,6;12,0
味味A排骨雞麵(袋)90gx5;米油沖泡;75,0;味丹;規格：90g克x1x5Pack包;味味A排骨雞麵(袋) 90g;77,0;1;90,0;6,0;7288;2.60%;1;14500000001;unique_master_match;1;1;g;5;pack;15,0;15,4;2,5974025974025996;weight;month;2,6;1,0;41,0;32,0;13,0;3,55;30,0
味王麻油雞湯麵(包) 90g;米油沖泡;64,0;味王;規格：90g克x1x5Pack包;味王麻油雞湯麵(包) 90g;66,0;1;90,0;6,0;7290;3.03%;1;14500003001;unique_master_match;1;1;g;5;pack;12,8;13,2;3,0303030303030196;weight;month;3,03;1,0;37,0;31,0;14,0;3,44;30,0
味王排骨雞-精燉肉醬(包) 93gx5;米油沖泡;64,0;味王;規格：93g克x1x5Pack包;味王排骨雞-精燉肉醬(包) 93g;66,0;1;93,0;6,0;7292;3.03%;1;14500005001;unique_master_match;1;1;g;5;pack;12,8;13,2;3,0303030303030196;weight;month;3,03;1,0;40,0;31,0;14,0;3,46;30,0
維力元祖雞汁麵70g;米油沖泡;45,0;維力;規格：70g克x1x5Bag袋;維力元祖雞汁麵70g;50,0;1;70,0;6,0;7294;10.00%;0;14500007001;unique_master_match;1;1;g;5;bag;9,0;10,0;10,0;weight;month;10,0;0,0;38,0;32,0;14,0;2,77;30,0
台酒花雕雞麵(碗)200g;米油沖泡;49,0;台酒;規格：200g克x1x1PC碗;台酒花雕雞麵(碗)200g;0,0;1;200,0;6,0;7295;0.00%;1;14500008001;unique_master_match;1;1;g;1;pc;49,0;0,0;0,0;weight;month;0,0;1,0;49,0;35,0;15,0;3,24;12,0
統一阿Q雞汁排骨(碗) 107gx3;米油沖泡;89,0;統一;規格：107g克x1x3Bowl碗;統一阿Q排骨雞汁(碗) 107g;90,0;1;107,0;6,0;7296;1.11%;0;14500010001;unique_master_match;1;1;g;3;bowl;29,666666666666668;30,0;1,1111111111111072;weight;month;1,11;0,0;42,0;28,0;23,0;2,5;12,0
大補帖麻油雞(碗)105g;米油沖泡;52,0;統一;規格：105g克x1x2PC碗;大補帖麻油雞(碗)105g;0,0;1;105,0;6,0;7298;0.00%;0;14500012001;unique_master_match;1;1;g;2;pc;26,0;0,0;0,0;weight;month;0,0;0,0;43,0;29,0;18,0;3,0;12,0
味味A小排骨雞麵(碗)90gx3;米油沖泡;57,0;味味;規格：90g克x1x3Bowl碗;味味A小排骨雞麵(碗) 90g;0,0;1;90,0;6,0;7299;0.00%;1;14500013001;unique_master_match;1;1;g;3;bowl;19,0;0,0;0,0;weight;month;0,0;1,0;43,0;28,0;17,0;1,61;12,0
味味A冬菜鴨肉冬粉(袋)60g;米油沖泡;89,0;味味;規格：60g克x1x4PC包;味味A冬菜鴨肉冬粉(袋) 60g;94,0;1;60,0;9,0;7301;5.32%;1;14500017001;unique_master_match;1;1;g;4;pc;22,25;23,5;5,319148936170213;weight;month;5,32;1,0;34,0;33,0;15,0;1,6;24,0
韓式小雞麵(雞汁味)30g x3;米油沖泡;32,0;Enaak;規格：30g克x3x1Bag包;韓式小雞麵(雞汁味)30g x3;39,0;1;30,0;12,0;7302;17.95%;0;14500018001;unique_master_match;1;1;g;3;bag;10,666666666666666;13,0;17,948717948717956;weight;month;17,95;0,0;51,0;29,0;41,0;6,22;48,0
統一大補帖當歸鴨細麵(碗)102g;米油沖泡;52,0;統一;規格：102g克x1x2Bowl碗;統一大補帖當歸鴨細麵(碗)102g;0,0;1;102,0;6,0;7304;0.00%;0;14500023001;unique_master_match;1;1;g;2;bowl;26,0;0,0;0,0;weight;month;0,0;0,0;43,0;29,0;18,0;3,0;12,0
台酒米酒麻油雞麵(碗)200g;米油沖泡;49,0;台酒;規格：200g克x1x1PC碗;台酒米酒麻油雞麵(碗)200g;0,0;1;200,0;6,0;7305;0.00%;0;14500024001;unique_master_match;1;1;g;1;pc;49,0;0,0;0,0;weight;month;0,0;0,0;49,0;35,0;15,0;3,24;12,0
