title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton;inventory_quantity
77新貴派18片盒裝-濃郁抹茶-252g;飲料零食;120,0;77;規格：252g克x1x1Bag包;77新貴派18片盒裝-濃郁抹茶 252g;0,0;1;252,0;12,0;6028;0.00%;1;14131008001;unique_master_match;1;1;g;1;bag;120,0;0,0;0,0;weight;month;0,0;1,0;59,0;27,0;22,0;4,6;12,0;311,0
77巧菲斯夾心酥(牛奶口味)300G;飲料零食;92,0;77;規格：300g克x1x1Bag包;77巧菲斯夾心酥(牛奶口味)10入;115,0;1;300,0;13,0;6030;20.00%;1;14131011001;unique_master_match;1;1;g;1;bag;92,0;115,0;20,0;weight;month;20,0;1,0;65,0;27,0;28,0;6,404;20,0;429,0
家樂福花生夾心酥;飲料零食;80,0;家樂福;規格：400g克x1x1Pack包;家福花生夾心酥;82,0;1;400,0;12,0;6032;2.44%;0;14131020001;unique_master_match;1;1;g;1;pack;80,0;82,0;2,439024;weight;month;2,44;0,0;44,0;29,0;28,0;4,15;8,0;458,0
義美夾心酥(黑可可)400g;飲料零食;94,0;義美;規格：400g克x1x1Bag包;義美夾心酥(黑可可);0,0;1;400,0;13,0;6033;0.00%;1;14131022001;unique_master_match;1;1;g;1;bag;94,0;0,0;0,0;weight;month;0,0;1,0;50,0;29,0;23,0;4,18;8,0;651,0
新貴派大格酥焙烤花生口味 388.8g;飲料零食;107,0;77;規格：388.8g克x1x1Bag包;新貴派大格酥經典巧克力口味324g;118,0;1;388,8;13,0;6036;9.32%;1;14131026001;unique_master_match;1;1;g;1;bag;107,0;118,0;9,322034;weight;month;9,32;1,0;47,0;29,0;32,0;4,9;12,0;7,0
義美巧克力夾心酥經濟包;飲料零食;91,0;義美;規格：400g克x1x1Pack包;義美牛奶夾心酥經濟包;92,0;1;400,0;12,0;6037;1.09%;0;14131027001;unique_master_match;1;1;g;1;pack;91,0;92,0;1,086957;weight;month;1,09;0,0;56,0;26,0;23,0;3,93;8,0;911,0
77新貴派18片盒裝-花生;飲料零食;88,0;77;規格：288g克x1x1Box盒;77新貴派迷你巧克力;94,0;1;288,0;12,0;6039;6.38%;1;14131033001;unique_master_match;1;1;g;1;box;88,0;94,0;6,382979;weight;month;6,38;1,0;53,0;31,0;25,0;5,6;15,0;7830,0
家樂福香芋夾心酥;飲料零食;80,0;家樂福;規格：400g克x1x1Pack包;家福香芋夾心酥;82,0;1;400,0;12,0;6041;2.44%;1;14131040001;unique_master_match;1;1;g;1;pack;80,0;82,0;2,439024;weight;month;2,44;1,0;43,0;29,0;28,0;4,25;8,0;233,0
義美巧克力夾心酥經濟包;飲料零食;91,0;義美;規格：400g克x1x1Pack包;義美巧克力夾心酥經濟包;92,0;1;400,0;12,0;6042;1.09%;1;14131041001;unique_master_match;1;1;g;1;pack;91,0;92,0;1,086957;weight;month;1,09;1,0;56,0;26,0;24,0;3,92;8,0;1550,0
家樂福巧克力夾心酥;飲料零食;80,0;家樂福;規格：400g克x1x1Pack包;家福巧克力夾心酥;82,0;1;400,0;12,0;6043;2.44%;0;14131043001;unique_master_match;1;1;g;1;pack;80,0;82,0;2,439024;weight;month;2,44;0,0;44,0;29,0;28,0;4,07;8,0;335,0
萊佳綜合迷你哈斯餅;飲料零食;185,0;Loacker萊佳;規格：150g克x1x1PC包;萊佳綜合迷你哈斯餅;0,0;1;150,0;18,0;6044;0.00%;1;14131044001;unique_master_match;1;1;g;1;pc;185,0;0,0;0,0;weight;month;0,0;1,0;30,0;26,0;21,0;2,0;10,0;210,0
77新貴派18片盒裝-花生;飲料零食;88,0;77;規格：288g克x1x1Box盒;77新貴派18片盒裝-花生;94,0;1;288,0;12,0;6046;6.38%;1;14131047001;unique_master_match;1;1;g;1;box;88,0;94,0;6,382979;weight;month;6,38;1,0;59,0;27,0;22,0;5,04;12,0;3005,333333
義美香濃花生夾心酥400g;飲料零食;91,0;義美;規格：400g克x1x1Bag包;義美夾心酥(咖啡);92,0;1;400,0;13,0;6048;1.09%;1;14131056001;unique_master_match;1;1;g;1;bag;91,0;92,0;1,086957;weight;month;1,09;1,0;50,0;29,0;23,0;4,18;8,0;429,0
