title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton;inventory_quantity
肌研極潤保濕化粧水清爽型-170ml;美妝個清;299,0;肌研;規格：170ml毫升x1x1BOTTLE瓶;肌研極潤保濕化水清爽型 極潤化水清爽;369,0;1;170,0;48,0;3579;18.97%;1;12021069001;unique_master_match;1;1;ml;1;bottle;299,0;369,0;18,97018970189702;volume;month;18,97;1,0;14,0;5,0;16,0;0,5;3,0;6,0
肌研白潤美白化妝水(潤澤);美妝個清;396,0;肌研;規格：170ml毫升x1x1Bottle瓶;肌研白潤美白化妝水(潤澤) 白潤美白;440,0;1;170,0;48,0;3582;10.00%;1;12021094001;unique_master_match;1;1;ml;1;bottle;396,0;440,0;10,0;volume;month;10,0;1,0;15,0;10,0;17,0;1,2;6,0;12,0
曼秀雷敦Acnes抗痘粉狀調理水;美妝個清;175,0;曼秀雷敦;規格：150ml毫升x1x1BOTTLE瓶;曼秀雷敦Acnes抗痘粉狀調理水;209,0;1;150,0;36,0;3584;16.27%;1;12021912001;unique_master_match;1;1;ml;1;bottle;175,0;209,0;16,267942583732058;volume;month;16,27;1,0;18,0;15,0;17,0;1,2;6,0;
IMJU薏仁清潤化妝水;美妝個清;250,0;;規格：500ml毫升x1x1BOTTLE瓶;IMJU薏仁清潤化妝水 薏仁清潤化妝水;0,0;1;500,0;60,0;3591;0.00%;0;12021969001;unique_master_match;1;1;ml;1;bottle;250,0;0,0;0,0;volume;month;0,0;0,0;35,0;15,0;22,0;5,748;10,0;20,0
廣源良菜瓜水100ml;美妝個清;129,0;;規格：100ml毫升x1x1BOTTLE瓶;廣源良菜瓜水100ml 菜瓜水-100ml;149,0;1;100,0;36,0;3594;13.42%;1;12021993001;unique_master_match;1;1;ml;1;bottle;129,0;149,0;13,422818791946309;volume;month;13,42;1,0;18,0;14,0;18,0;1,9;12,0;24,0
廣源良菜瓜水180ml 2入;美妝個清;289,0;廣源良;規格：360ml毫升x1x1SET組;廣源良菜瓜水180ml 菜瓜水;300,0;1;360,0;36,0;3595;3.67%;0;12021994001;unique_master_match;1;1;ml;1;set;289,0;300,0;3,6666666666666665;volume;month;3,67;0,0;20,0;17,0;17,0;2,852;12,0;22,0
肌研極潤保濕乳液-140ml;美妝個清;299,0;肌研;規格：140ml毫升x1x1BOTTLE瓶;肌研極潤保濕乳液 肌研極潤乳液;369,0;1;140,0;48,0;3598;18.97%;1;12022005001;unique_master_match;1;1;ml;1;bottle;299,0;369,0;18,97018970189702;volume;month;18,97;1,0;14,0;5,0;15,0;0,5;3,0;6,0
肌研極潤金緻高效保濕精華乳-140ml;美妝個清;399,0;肌研;規格：140ml毫升x1x1BOTTLE瓶;肌研極潤金緻高效保濕精華乳 極潤金緻精華乳;495,0;1;140,0;48,0;3600;19.39%;0;12022008001;unique_master_match;1;1;ml;1;bottle;399,0;495,0;19,393939393939394;volume;month;19,39;0,0;14,0;5,0;14,0;0,5;3,0;6,0
雪芙蘭嫩白水乳液150ml;美妝個清;129,0;雪芙蘭;規格：150ml毫升x1x1Bottle瓶;雪芙蘭嫩白水乳液 嫩白水乳液;139,0;1;150,0;36,0;3607;7.19%;1;12022027001;unique_master_match;1;1;ml;1;bottle;129,0;139,0;7,194244604316546;volume;month;7,19;1,0;22,0;20,0;18,0;4,5;12,0;24,0
妮維雅男士水活保濕精華乳液;美妝個清;399,0;妮維雅;規格：50ml毫升x1x1Pc支;妮維雅男士水活保濕精華乳液 水活保濕精華;431,0;1;50,0;36,0;3608;7.42%;0;12022030001;unique_master_match;1;1;ml;1;pc;399,0;431,0;7,424593967517401;volume;month;7,42;0,0;19,0;15,0;16,0;1,39;12,0;24,0
