title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton
妙而舒瞬吸舒爽紙尿褲 M66片;嬰童保健;399,0;妙而舒;規格：66PC片x1x1PACK包;妙而舒瞬吸舒爽紙尿褲 M;419,0;1;66,0;36,0;4993;4.77%;1;12232999001;unique_master_match;1;1;pc;1;pack;399,0;419,0;4,77326968973747;count;month;4,77;1,0;42,0;40,0;43,0;8,7;3,0
滿意寶寶極上呵護輕巧褲L-36PC;嬰童保健;389,0;滿意寶寶;規格：36PC片x1x1PC包;滿意寶寶極上呵護 L;429,0;1;36,0;36,0;5001;9.32%;1;12233011001;unique_master_match;1;1;pc;1;pc;389,0;429,0;9,324009324009324;count;month;9,32;1,0;55,0;28,0;45,0;8,348;4,0
妙而舒瞬吸舒爽紙尿褲 L52片;嬰童保健;399,0;妙而舒;規格：52PC片x1x1PACK包;妙而舒瞬吸舒爽紙尿褲 L;419,0;1;52,0;36,0;5005;4.77%;1;12233023001;unique_master_match;1;1;pc;1;pack;399,0;419,0;4,77326968973747;count;month;4,77;1,0;44,0;39,0;45,0;8,4;3,0
滿意活潑寶寶紙尿褲L號44+2片;嬰童保健;257,0;滿意寶寶;規格：46PC片x1x1PC包;滿意活潑寶寶紙尿褲L號44+2片 活潑寶寶L號;271,0;1;46,0;36,0;5007;5.17%;1;12233028001;unique_master_match;1;1;pc;1;pc;257,0;271,0;5,166051660516605;count;month;5,17;1,0;60,0;26,0;43,0;8,34;5,0
幫寶適極上守護黏貼M 152片;嬰童保健;1299,0;幫寶適PAMPERS;規格：152PC片x1x1BOX箱;幫寶適一級幫拉拉褲L箱;1429,0;1;152,0;36,0;5009;9.10%;1;12233034001;unique_master_match;1;1;pc;1;box;1299,0;1429,0;9,097270818754374;count;month;9,1;1,0;30,0;26,0;30,0;2,0;1,0
妙而舒極透舒膚妙兒褲L;嬰童保健;299,0;妙而舒;規格：27PC片x1x1PACK包;妙而舒妙兒褲L號;340,0;1;27,0;36,0;5010;12.06%;1;12233035001;unique_master_match;1;1;pc;1;pack;299,0;340,0;12,058823529411764;count;month;12,06;1,0;36,0;32,0;41,0;4,07;2,0
幫寶適極上守護黏貼M 152片;嬰童保健;1299,0;幫寶適PAMPERS;規格：152PC片x1x1BOX箱;幫寶適一級幫紙尿褲XL號;1429,0;1;152,0;36,0;5017;9.10%;1;12234005001;unique_master_match;1;1;pc;1;box;1299,0;1429,0;9,097270818754374;count;month;9,1;1,0;48,0;38,0;26,0;5,8;3,0
妙而舒瞬吸舒爽紙尿褲 XL44片;嬰童保健;399,0;妙而舒;規格：44PC片x1x1PACK包;妙而舒瞬吸舒爽紙尿褲 XL;419,0;1;44,0;36,0;5023;4.77%;1;12234029001;unique_master_match;1;1;pc;1;pack;399,0;419,0;4,77326968973747;count;month;4,77;1,0;48,0;35,0;48,0;8,4;3,0
幫寶適極上守護黏貼M 152片;嬰童保健;1299,0;幫寶適PAMPERS;規格：152PC片x1x1BOX箱;幫寶適一級幫拉拉褲XL箱;1429,0;1;152,0;36,0;5026;9.10%;1;12234038001;unique_master_match;1;1;pc;1;box;1299,0;1429,0;9,097270818754374;count;month;9,1;1,0;30,0;27,0;32,0;2,56;1,0
[箱購]幫寶適清新幫黏貼型紙尿褲 L46PC片 x 4Bag袋;嬰童保健;1299,0;;規格：46PC片x1x4Bag袋;幫寶適超薄乾爽紙尿褲XL;1756,0;1;46,0;36,0;5028;26.03%;1;12234901001;unique_master_match;1;1;pc;4;bag;324,75;439,0;26,0250569476082;count;month;26,03;1,0;50,0;30,0;39,0;7,02;3,0
幫寶適清新幫拉拉褲 XXL;嬰童保健;399,0;;規格：26PC片x1x1Bag袋;幫寶適超薄乾爽拉拉褲XL號;410,0;1;26,0;36,0;5031;2.68%;1;12234915001;unique_master_match;1;1;pc;1;bag;399,0;410,0;2,682926829268293;count;month;2,68;1,0;43,0;31,0;50,0;7,112;6,0
幫寶適清新幫拉拉褲 XXL;嬰童保健;399,0;;規格：26PC片x1x1Bag袋;幫寶適超薄乾爽拉拉褲XXL號;410,0;1;26,0;36,0;5032;2.68%;1;12234916001;unique_master_match;1;1;pc;1;bag;399,0;410,0;2,682926829268293;count;month;2,68;1,0;44,0;40,0;27,0;5,25;6,0
[箱購]滿意寶寶瞬潔乾爽輕巧褲XL號38片x4袋(新舊包裝,以實際出貨為主);嬰童保健;1340,0;滿意寶寶;規格：38PC片x1x4PC包;滿意寶寶瞬潔乾爽輕巧褲XL號38片;1596,0;1;38,0;36,0;5036;16.04%;1;12234920001;unique_master_match;1;1;pc;4;pc;335,0;399,0;16,040100250626566;count;month;16,04;1,0;45,0;33,0;43,0;6,47;4,0
滿意寶寶瞬潔乾爽輕巧褲XXL號26片;嬰童保健;369,0;滿意寶寶;規格：26PC片x1x1PC包;滿意寶寶瞬潔乾爽輕巧褲XXL號26片;399,0;1;26,0;36,0;5037;7.52%;1;12234921001;unique_master_match;1;1;pc;1;pc;369,0;399,0;7,518796992481203;count;month;7,52;1,0;51,0;24,0;43,0;4,23;3,0
幫寶適極上守護黏貼M 152片;嬰童保健;1299,0;幫寶適PAMPERS;規格：152PC片x1x1BOX箱;幫寶適一級幫拉拉褲XL;1429,0;1;152,0;36,0;5045;9.10%;1;12234934001;unique_master_match;1;1;pc;1;box;1299,0;1429,0;9,097270818754374;count;month;9,1;1,0;49,0;43,0;22,0;4,37;3,0
家樂福超值螺旋棉花棒;嬰童保健;29,0;家樂福;規格：500PC支x1x1PC包;超值螺旋棉花棒;0,0;1;500,0;60,0;5065;0.00%;1;12301001001;unique_master_match;1;1;pc;1;pc;29,0;0,0;0,0;count;month;0,0;1,0;51,0;37,0;32,0;7,01;60,0
【安心價】菲力家族棉花棒600支;嬰童保健;55,0;菲力;規格：600PC支x1x1Bag包;菲力家族粗軸棉花棒;65,0;1;600,0;60,0;5066;15.38%;0;12301004001;unique_master_match;1;1;pc;1;bag;55,0;65,0;15,384615384615385;count;month;15,38;0,0;37,0;24,0;29,0;4,0;24,0
