title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton;inventory_quantity
愛康超透氣衛生棉護墊-20PCx4;美妝個清;189,0;愛康;規格：80PC片x1x1SET組;愛康超透氣衛生棉護墊4入組;204,0;1;80,0;36,0;4435;7.35%;1;12120085001;unique_master_match;1;1;pc;1;set;189,0;204,0;7,352941176470589;count;month;7,35;1,0;31,0;29,0;22,0;2,666;12,0;31,0
康乃韾清涼護墊加長17cm-20PC;美妝個清;95,0;康乃韾;規格：20PC片x1x2PC包;康乃韾清涼護墊加長17cm;107,0;1;20,0;36,0;4436;11.21%;1;12120086001;unique_master_match;1;1;pc;2;pc;47,5;53,5;11,214953271028037;count;month;11,21;1,0;42,0;22,0;16,0;1,6;24,0;50,66666667
康乃韾清涼護墊一般15cm-24PC;美妝個清;95,0;康乃韾;規格：24PC片x1x2PC包;康乃韾清涼護墊一般15cm;107,0;1;24,0;36,0;4437;11.21%;0;12120087001;unique_master_match;1;1;pc;2;pc;47,5;53,5;11,214953271028037;count;month;11,21;0,0;40,0;24,0;16,0;1,7;24,0;22,0
康乃馨透氣超薄護墊加長型17cm(無香)26PC;美妝個清;75,0;康乃韾;規格：26PC片x1x2PacK包;康乃韾超薄透氣護墊加長無香;0,0;1;26,0;36,0;4438;0.00%;1;12120088001;unique_master_match;1;1;pc;2;pack;37,5;0,0;0,0;count;month;0,0;1,0;43,0;20,0;16,0;1,55;24,0;46,0
蘇菲極淨肌原生棉量少型17.5cm;美妝個清;138,0;蘇菲;規格：18PC片x1x4PC包;蘇菲極淨肌天然棉護墊;150,0;1;18,0;36,0;4440;8.00%;0;12120090001;unique_master_match;1;1;pc;4;pc;34,5;37,5;8,0;count;month;8,0;0,0;41,0;23,0;24,0;2,42;36,0;134,0
康乃馨透氣超薄護墊加長型17cm(微香)26PC;美妝個清;109,0;康乃韾;規格：26PC片x1x2PacK包;康乃韾超薄透氣護墊加長微香 護墊加長微香;0,0;1;26,0;36,0;4441;0.00%;0;12120091001;unique_master_match;1;1;pc;2;pack;54,5;0,0;0,0;count;month;0,0;0,0;43,0;20,0;16,0;1,454;24,0;48,0
靠得住茶樹舒涼護墊14.5cm-26PC;美妝個清;99,0;Kotex 靠得住;規格：26PC片x1x1PC包;靠得住茶樹舒涼護墊14.5cm;0,0;1;26,0;36,0;4442;0.00%;0;12120093001;unique_master_match;1;1;pc;1;pc;99,0;0,0;0,0;count;month;0,0;0,0;;;;;24,0;406,0
靠得住茶樹舒涼護墊瞬吸加長17.5cm-18PC;美妝個清;99,0;Kotex 靠得住;規格：18PC片x1x1PC包;靠得住茶樹舒涼護墊瞬吸加長17.5cm;0,0;1;18,0;36,0;4443;0.00%;1;12120094001;unique_master_match;1;1;pc;1;pc;99,0;0,0;0,0;count;month;0,0;1,0;;;;;24,0;613,0
蘇菲瞬吸加長護墊天然無香15.5cm-32PC;美妝個清;67,0;蘇菲;規格：32PC片x1x2Pack包;蘇菲瞬吸加長護墊15.5cm無香;72,0;1;32,0;36,0;4445;6.94%;1;12120898001;unique_master_match;1;1;pc;2;pack;33,5;36,0;6,944444444444445;count;month;6,94;1,0;39,0;27,0;23,0;2,6;36,0;96,66666667
蘇菲彈力貼身超薄量少潔翼衛生棉17.5cm16片;美妝個清;95,0;蘇菲;規格：16PC片x3x1Set組;蘇菲彈力貼身量少潔翼;0,0;1;16,0;36,0;4449;0.00%;0;12121004001;unique_master_match;1;1;pc;3;set;31,666666666666668;0,0;0,0;count;month;0,0;0,0;35,0;29,0;32,0;3,58;48,0;1830,666667
靠得住草本抑菌衛生棉23cm-14PCx3;美妝個清;139,0;Kotex 靠得住;規格：14PC片x3x1PC包;靠得住草本抑菌衛生棉日用23cm;0,0;1;14,0;36,0;4450;0.00%;0;12121005001;unique_master_match;1;1;pc;3;pc;46,333333333333336;0,0;0,0;count;month;0,0;0,0;;;;;24,0;2899,0
康乃馨御守棉超薄衛生棉一般流量21.5cm;美妝個清;139,0;康乃韾;規格：18PC片x1x3Pack包;康乃馨御守棉超薄衛生棉一般流;0,0;1;18,0;36,0;4451;0.00%;0;12121006002;unique_master_match;1;1;pc;3;pack;46,333333333333336;0,0;0,0;count;month;0,0;0,0;55,0;24,0;21,0;3,36;24,0;110,0
康乃馨純淨棉一般流量;美妝個清;198,0;康乃韾;規格：18PC片x1x2PC包;康乃馨純淨棉一般流量;0,0;1;18,0;36,0;4452;0.00%;1;12121007001;unique_master_match;1;1;pc;2;pc;99,0;0,0;0,0;count;month;0,0;1,0;55,0;24,0;21,0;2,9;24,0;44,0
康乃馨蝶型衛生棉-量少型-20PC片;美妝個清;99,0;康乃韾;規格：20PC片x1x3Pack包;康乃馨量少型蝶型衛生棉;107,0;1;20,0;36,0;4454;7.48%;0;12121010001;unique_master_match;1;1;pc;3;pack;33,0;35,666666666666664;7,476635514018685;count;month;7,48;0,0;42,0;25,0;16,0;2,49;24,0;194,0
靠得住純白體驗超吸洞日用超薄23cm-15PCx3;美妝個清;139,0;Kotex 靠得住;規格：15PC片x1x3PC包;靠得住純白體驗超吸洞日用超薄;0,0;1;15,0;36,0;4458;0.00%;0;12121016001;unique_master_match;1;1;pc;3;pc;46,333333333333336;0,0;0,0;count;month;0,0;0,0;;;;;24,0;679,0
蘇菲彈力貼身草本抑菌超薄23cm15片;美妝個清;149,0;蘇菲;規格：15PC片x1x3Pack包;蘇菲彈力貼身草本抑菌超薄23cm15片;0,0;1;15,0;36,0;4462;0.00%;0;12121023001;unique_master_match;1;1;pc;3;pack;49,666666666666664;0,0;0,0;count;month;0,0;0,0;54,0;27,0;38,0;5,17;48,0;366,0
elis愛麗思純淨裸肌極緞棉超薄17cm;美妝個清;198,0;elis 愛麗思;規格：34PC片x1x1PC包;Elis清爽零感日用超薄17 日用超薄17cm;0,0;1;34,0;36,0;4463;0.00%;0;12121024001;unique_master_match;1;1;pc;1;pc;198,0;0,0;0,0;count;month;0,0;0,0;48,0;33,0;24,0;3,6;27,0;54,0
好自在幻彩液體衛生棉24cm 9片;美妝個清;109,0;Whisper 好自在;規格：9PC片x1x1PC包;好自在幻彩衛生棉24cm 9片;0,0;1;9,0;36,0;4465;0.00%;0;12121027001;unique_master_match;1;1;pc;1;pc;109,0;0,0;0,0;count;month;0,0;0,0;28,0;23,0;24,0;1,628;12,0;37,0
康乃馨輕柔美學貼身棉一般流量21.5cm;美妝個清;168,0;康乃韾;規格：20PC片x1x3Pack包;康乃馨輕柔美學貼身棉一般流量;0,0;1;20,0;36,0;4469;0.00%;1;12121032001;unique_master_match;1;1;pc;3;pack;56,0;0,0;0,0;count;month;0,0;1,0;46,0;29,0;45,0;6,48;36,0;861,0
康乃馨一般流量促銷包(20片x4包);美妝個清;138,0;康乃韾;規格：80PC片x1x1Set組;康乃馨一般流量促銷包;162,0;1;80,0;36,0;4470;14.81%;0;12121034001;unique_master_match;1;1;pc;1;set;138,0;162,0;14,814814814814813;count;month;14,81;0,0;33,0;29,0;30,0;3,952;8,0;201,0
靠得住溫柔宣言輕柔棉日用23cm-12PC;美妝個清;139,0;Kotex 靠得住;規格：12PC片x1x3Pack包;靠得住溫柔宣言輕柔棉日用;0,0;1;12,0;36,0;4471;0.00%;0;12121036001;unique_master_match;1;1;pc;3;pack;46,333333333333336;0,0;0,0;count;month;0,0;0,0;;;;;24,0;628,0
蘇菲極淨肌草本抑菌超薄23cm小蒼蘭香;美妝個清;145,0;蘇菲;規格：18PC片x1x1PC包;蘇菲極淨肌草本抑菌日23cm;0,0;1;18,0;36,0;4472;0.00%;0;12121037001;unique_master_match;1;1;pc;1;pc;145,0;0,0;0,0;count;month;0,0;0,0;44,0;29,0;22,0;2,6;24,0;48,0
蘇菲清新涼感微涼小黃瓜23cm14片;美妝個清;145,0;蘇菲;規格：14PC包x1x1PC包;蘇菲清新涼感衛生棉23cm黃瓜;0,0;1;14,0;36,0;4473;0.00%;0;12121038001;unique_master_match;1;1;pc;1;pc;145,0;0,0;0,0;count;month;0,0;0,0;32,0;29,0;23,0;3,0;24,0;123,0
蘇菲天然原生棉超薄潔翼23cm12片;美妝個清;138,0;蘇菲;規格：12PC片x1x3PC包;蘇菲極淨肌原生棉超薄潔翼23cm;150,0;1;12,0;36,0;4478;8.00%;0;12121048001;unique_master_match;1;1;pc;3;pc;46,0;50,0;8,0;count;month;8,0;0,0;42,0;29,0;21,0;2,5;24,0;17,0
蘇菲清新涼感清涼薄荷23cm 14片;美妝個清;145,0;蘇菲;規格：14PC包x1x1PC包;蘇菲清新涼感衛生棉23cm薄荷;0,0;1;14,0;36,0;4480;0.00%;1;12121050001;unique_master_match;1;1;pc;1;pc;145,0;0,0;0,0;count;month;0,0;1,0;37,0;21,0;30,0;3,0;24,0;462,0
蘇菲極淨肌原生棉量少型17.5cm;美妝個清;138,0;蘇菲;規格：18PC片x1x4PC包;蘇菲極淨肌原生棉量少型17.5cm;150,0;1;18,0;36,0;4481;8.00%;0;12121051001;unique_master_match;1;1;pc;4;pc;34,5;37,5;8,0;count;month;8,0;0,0;42,0;31,0;26,0;3,24;48,0;27,0
好自在INFINITY液體衛生棉24cm;美妝個清;109,0;Whisper 好自在;規格：10PC片x1x1PC包;好自在INFINITY衛生棉24cm;0,0;1;10,0;36,0;4482;0.00%;1;12121056001;unique_master_match;1;1;pc;1;pc;109,0;0,0;0,0;count;month;0,0;1,0;45,0;27,0;13,0;1,21;12,0;236,0
蘇菲彈力貼身Happy catch超薄23cm-18PC;美妝個清;59,0;蘇菲;規格：18PC片x1x1PC包;蘇菲彈力貼身Happycatch超薄23cm;96,0;1;18,0;36,0;4483;38.54%;1;12121059001;unique_master_match;1;1;pc;1;pc;59,0;96,0;38,54166666666667;count;month;38,54;1,0;42,0;31,0;29,0;3,54;24,0;95,0
[箱購] 康乃韾清涼棉一般流量14片2入x 12組;美妝個清;1416,0;康乃韾;規格：14PC片x1x24PC包;康乃韾清涼棉一般流量14片2入;1668,0;1;14,0;36,0;4489;15.11%;1;12121066001;unique_master_match;1;1;pc;24;pc;59,0;69,5;15,107913669064748;count;month;15,11;1,0;37,0;28,0;20,0;2,8;24,0;60,0
愛康超透氣衛生棉日用-8PCx4;美妝個清;189,0;愛康;規格：32PC片x1x1SET組;愛康超透氣衛生棉日用4入組;204,0;1;32,0;36,0;4495;7.35%;0;12121078001;unique_master_match;1;1;pc;1;set;189,0;204,0;7,352941176470589;count;month;7,35;0,0;46,0;24,0;28,0;3,6;12,0;44,0
靠得住茶樹舒涼棉23cm;美妝個清;169,0;Kotex 靠得住;規格：18PC片x1x1PC包;靠得住茶樹舒涼棉23cm;0,0;1;18,0;36,0;4498;0.00%;0;12121082001;unique_master_match;1;1;pc;1;pc;169,0;0,0;0,0;count;month;0,0;0,0;;;;;24,0;1181,0
