title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton;inventory_quantity
貝納頌直火炭焙風味 Can 210ml;飲料零食;132,0;貝納頌;規格：210ml毫升x1x6Bottle瓶;貝納頌直火炭焙風味 Can 210ml;156,0;1;210,0;24,0;245;15.38%;1;10020025001;unique_master_match;1;1;ml;6;bottle;22,0;26,0;15,384615;volume;month;15,38;1,0;33,0;22,0;13,0;6,42;24,0;459,0
貝納頌咖啡TP375ml;飲料零食;62,0;貝納頌;規格：375ml毫升x1x3Bottle瓶;貝納頌咖啡TP375ml;66,0;1;375,0;6,0;246;6.06%;1;10020027001;unique_master_match;1;1;ml;3;bottle;20,666667;22,0;6,060606;volume;month;6,06;1,0;39,0;20,0;14,0;9,97;24,0;10787,0
韋恩特濃咖啡Can320ml;飲料零食;76,0;黑松;規格：320ml毫升x1x4Bottle瓶;韋恩特濃咖啡Can320ml;95,0;1;320,0;25,0;251;20.00%;1;10020033001;unique_master_match;1;1;ml;4;bottle;19,0;23,75;20,0;volume;month;20,0;1,0;40,0;27,0;13,0;9,94;24,0;6452,0
午后時光重乳咖啡拿鐵TP330ml;飲料零食;109,0;光泉;規格：330ml毫升x1x6BOTTLE瓶;午后時光重乳咖啡拿鐵TP330ml;120,0;1;330,0;13,0;252;9.17%;0;10020034001;unique_master_match;1;1;ml;6;bottle;18,166667;20,0;9,166667;volume;month;9,17;0,0;35,0;20,0;14,0;8,73;24,0;998,0
咖啡廣場奶香特調咖啡Pet600ml;飲料零食;88,0;統一;規格：600ml毫升x1x4Bottle瓶;咖啡廣場奶香特調咖啡Pet600ml;0,0;1;600,0;9,0;254;0.00%;0;10020036001;unique_master_match;1;1;ml;4;bottle;22,0;0,0;0,0;volume;month;0,0;0,0;41,0;27,0;24,0;16,17;24,0;2032,0
Asahi Wonda 早安咖啡179mlx6;飲料零食;174,0;Asahi Wonda;規格：179ml毫升x1x6BOTTLE瓶;Asahi Wonda 早安咖啡 CAN179ml;0,0;1;179,0;13,0;255;0.00%;1;10020037001;unique_master_match;1;1;ml;6;bottle;29,0;0,0;0,0;volume;month;0,0;1,0;33,0;27,0;11,0;6,592;30,0;120,0
UCC無糖咖啡飲料Can184ml;飲料零食;119,0;UCC;規格：184ml毫升x1x6Bottle瓶;UCC無糖咖啡飲料Can184ml;166,0;1;184,0;12,0;259;28.31%;0;10020041001;unique_master_match;1;1;ml;6;bottle;19,833333;27,666667;28,313253;volume;month;28,31;0,0;33,0;27,0;11,0;6,17;30,0;8444,0
咖啡廣場調和式冰咖啡Pet600ml;飲料零食;88,0;統一;規格：600ml毫升x1x4Bottle瓶;咖啡廣場調和式冰咖啡Pet600ml;0,0;1;600,0;9,0;260;0.00%;0;10020042001;unique_master_match;1;1;ml;4;bottle;22,0;0,0;0,0;volume;month;0,0;0,0;41,0;27,0;23,0;16,102;24,0;2168,0
韋恩特濃黑咖Can210ml;飲料零食;108,0;黑松;規格：210ml毫升x1x6CAN罐;韋恩特濃黑咖Can210ml;0,0;1;210,0;18,0;262;0.00%;1;10020046001;unique_master_match;1;1;ml;6;can;18,0;0,0;0,0;volume;month;0,0;1,0;33,0;22,0;12,0;6,81;24,0;1284,0
喬亞拿鐵咖啡350ml;飲料零食;99,0;GEORGIA 喬亞;規格：350ml毫升x1x4BOTTLE瓶;喬亞滴濾拿鐵Pet350ml;125,0;1;350,0;9,0;263;20.80%;1;10020093001;unique_master_match;1;1;ml;4;bottle;24,75;31,25;20,8;volume;month;20,8;1,0;41,0;28,0;16,0;9,72;24,0;0,0
