title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton;inventory_quantity
美吾髮快速護髮染髮霜補充包-6號自然褐;美妝個清;152,0;美吾髮;規格：80g克x1x1Box盒;美吾髮快速護髮染髮霜補充包 6號-自然褐;172,0;1;80,0;36,0;2617;11.63%;1;12005056003;unique_master_match;1;1;g;1;box;152,0;172,0;11,627907;weight;month;11,63;1,0;22,0;15,0;18,0;2,0;12,0;24,0
美吾髮快速護髮染髮霜補充包-5號深栗;美妝個清;152,0;美吾髮;規格：80g克x1x1Box盒;美吾髮快速護髮染髮霜補充包;172,0;1;80,0;36,0;2618;11.63%;1;12005056004;unique_master_match;1;1;g;1;box;152,0;172,0;11,627907;weight;month;11,63;1,0;22,0;15,0;18,0;2,0;12,0;27,0
卡樂芙優質染髮霜-可可棕;美妝個清;189,0;卡樂芙;規格：50g克x2x1BOX盒;卡樂芙優質染髮霜 野莓紅;229,0;1;50,0;36,0;2621;17.47%;1;12005072003;unique_master_match;1;1;g;2;box;94,5;114,5;17,467249;weight;month;17,47;1,0;32,0;20,0;20,0;2,8;12,0;24,0
卡樂芙優質染髮霜-金沙亞麻;美妝個清;189,0;卡樂芙;規格：50g克x2x1BOX盒;卡樂芙優質染髮霜 金沙亞麻;229,0;1;50,0;36,0;2623;17.47%;1;12005072005;unique_master_match;1;1;g;2;box;94,5;114,5;17,467249;weight;month;17,47;1,0;32,0;20,0;20,0;2,8;12,0;24,0
宣若EX染髮霜-玫瑰棕;美妝個清;298,0;CIELO宣若;規格：40g克x2x1BOX盒;宣若EX染髮霜 玫瑰棕;369,0;1;40,0;42,0;2635;19.24%;1;12005082002;unique_master_match;1;1;g;2;box;149,0;184,5;19,241192;weight;month;19,24;1,0;20,0;8,0;19,0;0,6;3,0;3,0
宣若EX染髮霜-淺栗棕;美妝個清;298,0;CIELO宣若;規格：40g克x2x1BOX盒;宣若EX染髮霜 淺栗棕;369,0;1;40,0;42,0;2636;19.24%;1;12005082003;unique_master_match;1;1;g;2;box;149,0;184,5;19,241192;weight;month;19,24;1,0;20,0;8,0;19,0;0,6;3,0;4,0
宣若EX染髮霜;美妝個清;298,0;宣若;規格：40g克x2x1BOX盒;宣若EX染髮霜 自然紅棕;380,0;1;40,0;42,0;2639;21.58%;1;12005082006;unique_master_match;1;1;g;2;box;149,0;190,0;21,578947;weight;month;21,58;1,0;20,0;8,0;19,0;0,6;3,0;3,0
宣若EX染髮霜-深黑棕;美妝個清;298,0;CIELO宣若;規格：40g克x2x1BOX盒;宣若EX染髮霜;369,0;1;40,0;42,0;2648;19.24%;1;12005082007;ambiguous_master_match_resolved_with_order_history;4;4;g;2;box;149,0;184,5;19,241192;weight;month;19,24;1,0;20,0;8,0;19,0;0,6;3,0;37,0
宣若EX染髮霜-棕色;美妝個清;298,0;CIELO宣若;規格：40g克x2x1BOX盒;宣若EX染髮霜 紫紅棕;369,0;1;40,0;42,0;2641;19.24%;1;12005082008;unique_master_match;1;1;g;2;box;149,0;184,5;19,241192;weight;month;19,24;1,0;20,0;8,0;19,0;0,6;3,0;3,0
宣若EX染髮霜-深栗棕;美妝個清;298,0;CIELO宣若;規格：40g克x2x1BOX盒;宣若EX染髮霜 深紅棕;369,0;1;40,0;42,0;2643;19.24%;1;12005082010;unique_master_match;1;1;g;2;box;149,0;184,5;19,241192;weight;month;19,24;1,0;20,0;8,0;19,0;0,6;3,0;6,0
宣若EX染髮霜-深玫瑰棕;美妝個清;298,0;CIELO宣若;規格：40g克x2x1BOX盒;宣若EX染髮霜 深玫瑰棕;369,0;1;40,0;42,0;2644;19.24%;1;12005082011;unique_master_match;1;1;g;2;box;149,0;184,5;19,241192;weight;month;19,24;1,0;20,0;8,0;19,0;0,114;3,0;6,0
宣若EX染髮霜-深紫棕;美妝個清;298,0;CIELO宣若;規格：40g克x2x1BOX盒;宣若EX染髮霜 深紫棕;369,0;1;40,0;42,0;2646;19.24%;1;12005082013;unique_master_match;1;1;g;2;box;149,0;184,5;19,241192;weight;month;19,24;1,0;20,0;8,0;19,0;0,114;3,0;6,0
美源男士染髮霜-7自然黑;美妝個清;304,0;美源;規格：40g克x2x1BOX盒;美源男士染髮霜 自然黑;369,0;1;40,0;42,0;2650;17.62%;1;12005083002;unique_master_match;1;1;g;2;box;152,0;184,5;17,615176;weight;month;17,62;1,0;20,0;8,0;19,0;0,6;3,0;6,0
美源花果香染髮霜-淺亮棕色;美妝個清;169,0;美源;規格：40g克x2x1PC盒;美源花果香染髮霜 淺亮棕色;218,0;1;40,0;36,0;2651;22.48%;1;12005084001;unique_master_match;1;1;g;2;pc;84,5;109,0;22,477064;weight;month;22,48;1,0;15,0;9,0;16,0;0,3;3,0;6,0
美源花果香染髮霜-自然淺棕色;美妝個清;169,0;美源;規格：40g克x2x1PC盒;美源花果香染髮霜 自然淺棕色;218,0;1;40,0;36,0;2652;22.48%;1;12005084002;unique_master_match;1;1;g;2;pc;84,5;109,0;22,477064;weight;month;22,48;1,0;15,0;9,0;16,0;0,3;3,0;3,0
美源花果香染髮霜-亮栗棕色;美妝個清;169,0;美源;規格：40g克x2x1PC盒;美源花果香染髮霜 亮棕色;218,0;1;40,0;36,0;2653;22.48%;1;12005084004;unique_master_match;1;1;g;2;pc;84,5;109,0;22,477064;weight;month;22,48;1,0;15,0;9,0;16,0;0,3;3,0;6,0
美源花果香染髮霜-摩卡棕色;美妝個清;169,0;美源;規格：40g克x2x1PC盒;美源花果香染髮霜 摩卡棕色;218,0;1;40,0;36,0;2654;22.48%;1;12005084005;unique_master_match;1;1;g;2;pc;84,5;109,0;22,477064;weight;month;22,48;1,0;15,0;9,0;16,0;0,3;3,0;6,0
