[START] scenario=My scenario horizon_tick=1000 run_dir=D:\ITB\Tugas Akhir\_full_postt_parallel_runs\four_scenario_1000_shared_latest\my_scenario\netlogo-rmfs
[PROGRESS] scenario=My scenario tick=772.35/1000.00 step=5149 elapsed_s=1424.4
[PROGRESS] scenario=My scenario tick=776.85/1000.00 step=5179 elapsed_s=1445.0
[PROGRESS] scenario=My scenario tick=781.50/1000.00 step=5210 elapsed_s=1465.0
[PROGRESS] scenario=My scenario tick=786.30/1000.00 step=5242 elapsed_s=1486.1
[PROGRESS] scenario=My scenario tick=791.25/1000.00 step=5275 elapsed_s=1506.9
[PROGRESS] scenario=My scenario tick=796.50/1000.00 step=5310 elapsed_s=1527.1
[PROGRESS] scenario=My scenario tick=801.90/1000.00 step=5346 elapsed_s=1547.6
[PROGRESS] scenario=My scenario tick=807.30/1000.00 step=5382 elapsed_s=1568.8
[PROGRESS] scenario=My scenario tick=812.55/1000.00 step=5417 elapsed_s=1589.2
[PROGRESS] scenario=My scenario tick=817.65/1000.00 step=5451 elapsed_s=1609.5
[PROGRESS] scenario=My scenario tick=822.90/1000.00 step=5486 elapsed_s=1629.8
[PROGRESS] scenario=My scenario tick=828.15/1000.00 step=5521 elapsed_s=1650.1
[PROGRESS] scenario=My scenario tick=833.25/1000.00 step=5555 elapsed_s=1670.4
[PROGRESS] scenario=My scenario tick=838.35/1000.00 step=5589 elapsed_s=1690.5
[PROGRESS] scenario=My scenario tick=843.30/1000.00 step=5622 elapsed_s=1710.8
[PROGRESS] scenario=My scenario tick=848.85/1000.00 step=5659 elapsed_s=1731.2
[PROGRESS] scenario=My scenario tick=854.25/1000.00 step=5695 elapsed_s=1751.4
[PROGRESS] scenario=My scenario tick=859.80/1000.00 step=5732 elapsed_s=1771.5
[PROGRESS] scenario=My scenario tick=865.05/1000.00 step=5767 elapsed_s=1791.9
[PROGRESS] scenario=My scenario tick=870.60/1000.00 step=5804 elapsed_s=1812.2
[PROGRESS] scenario=My scenario tick=875.55/1000.00 step=5837 elapsed_s=1832.4
[PROGRESS] scenario=My scenario tick=880.50/1000.00 step=5870 elapsed_s=1852.6
[PROGRESS] scenario=My scenario tick=885.75/1000.00 step=5905 elapsed_s=1872.6
[PROGRESS] scenario=My scenario tick=891.30/1000.00 step=5942 elapsed_s=1893.2
[PROGRESS] scenario=My scenario tick=897.00/1000.00 step=5980 elapsed_s=1913.5
[PROGRESS] scenario=My scenario tick=902.40/1000.00 step=6016 elapsed_s=1933.5
[PROGRESS] scenario=My scenario tick=907.95/1000.00 step=6053 elapsed_s=1953.7
[PROGRESS] scenario=My scenario tick=913.20/1000.00 step=6088 elapsed_s=1975.0
[PROGRESS] scenario=My scenario tick=918.45/1000.00 step=6123 elapsed_s=1995.4
[PROGRESS] scenario=My scenario tick=923.25/1000.00 step=6155 elapsed_s=2015.7
[PROGRESS] scenario=My scenario tick=928.95/1000.00 step=6193 elapsed_s=2035.8
[PROGRESS] scenario=My scenario tick=934.35/1000.00 step=6229 elapsed_s=2056.3
[PROGRESS] scenario=My scenario tick=940.05/1000.00 step=6267 elapsed_s=2076.6
[PROGRESS] scenario=My scenario tick=945.45/1000.00 step=6303 elapsed_s=2096.6
[PROGRESS] scenario=My scenario tick=950.70/1000.00 step=6338 elapsed_s=2116.7
[PROGRESS] scenario=My scenario tick=955.95/1000.00 step=6373 elapsed_s=2137.2
[PROGRESS] scenario=My scenario tick=960.75/1000.00 step=6405 elapsed_s=2157.3
[PROGRESS] scenario=My scenario tick=964.95/1000.00 step=6433 elapsed_s=2177.6
[PROGRESS] scenario=My scenario tick=969.15/1000.00 step=6461 elapsed_s=2198.1
[PROGRESS] scenario=My scenario tick=972.45/1000.00 step=6483 elapsed_s=2218.7
[PROGRESS] scenario=My scenario tick=976.20/1000.00 step=6508 elapsed_s=2240.4
[PROGRESS] scenario=My scenario tick=979.95/1000.00 step=6533 elapsed_s=2260.7
[PROGRESS] scenario=My scenario tick=983.55/1000.00 step=6557 elapsed_s=2281.3
[PROGRESS] scenario=My scenario tick=987.30/1000.00 step=6582 elapsed_s=2302.4
[PROGRESS] scenario=My scenario tick=991.20/1000.00 step=6608 elapsed_s=2322.6
[PROGRESS] scenario=My scenario tick=995.25/1000.00 step=6635 elapsed_s=2343.5
[PROGRESS] scenario=My scenario tick=999.00/1000.00 step=6660 elapsed_s=2363.7
[DONE] scenario=My scenario tick=1000.05 step=6667 elapsed_s=2368.9 fulfilled=0 arrived=2211 output=D:\ITB\Tugas Akhir\_full_postt_parallel_runs\four_scenario_1000_shared_latest\my_scenario\result_simplified_reset_1000_no_runtime_logs.csv
