title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;_query_key;item_code;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;is_new_product
【汽車百貨】FGK 10W40HC合成機油;休閒娛樂;99;FGK;規格：1l公升x1x1bottle瓶;FGK 10W40 合成機油;109;1;1000,0;60,0;9904;9.17%;1;FGK10W40合成機油;35302038001;ml;1;bottle;99,0;109,0;9,174311926605505;volume;月;1
翠筠優質栽培土25L;休閒娛樂;180;翠筠;規格：25l公升x1x1pack包;優質栽培土25L;0;1;25000,0;999,0;9873;0.00%;1;優質栽培土25L;34122002001;ml;1;pack;180,0;0,0;0,0;volume;;0
【汽車百貨】電瓶水LANDA-500cc;休閒娛樂;15;;規格：500cc西西x1x1bottle瓶;電瓶水LANDA500cc;0;1;500,0;33,3;9892;0.00%;0;電瓶水LANDA500cc;35210002001;cc;1;bottle;15,0;0,0;0,0;volume;月;0
【汽車百貨】SHELL Ultra 5W40 全合成汽車機油 (平行輸入);休閒娛樂;239;Shell;規格：1l公升x1x1bottle瓶;(平)Shell Ultra 5W40 全合成機油;0;1;1000,0;60,0;9893;0.00%;0;(平)ShellUltra5W40全合成機油;35300004001;ml;1;bottle;239,0;0,0;0,0;volume;月;0
【汽車百貨】新金美孚1號5W/50 FS X2全合成機油;休閒娛樂;279;MOBIL 美孚;規格：1l公升x1x1bottle瓶;新金美孚1號5W/50 FS X2全合成機;0;1;1000,0;33,3;9899;0.00%;1;新金美孚1號5W/50FSX2全合成機;35301005001;ml;1;bottle;279,0;0,0;0,0;volume;月;0
【汽車百貨】中油9000SM車用機油10W/40;休閒娛樂;259;台灣中油;規格：1l公升x1x1bottle瓶;中油9000SM車用機油10W/40;299;1;1000,0;33,3;9902;13.38%;1;中油9000SM車用機油10W/40;35302003001;ml;1;bottle;259,0;299,0;13,377926421404682;volume;月;0
【汽車百貨】中油9000SM車用機油10W/40;休閒娛樂;259;台灣中油;規格：1l公升x1x1bottle瓶;中油9000 SL 10W/40;299;1;1000,0;33,3;9903;13.38%;1;中油9000SL10W/40;35302015001;ml;1;bottle;259,0;299,0;13,377926421404682;volume;月;0
【汽車百貨】美孚Special Plus 10W40 機油;休閒娛樂;109;MOBIL 美孚;規格：1l公升x1x1bottle瓶;美孚Special Plus 10w40 機油;119;1;1000,0;60,0;9905;8.40%;0;美孚SpecialPlus10w40機油;35302040001;ml;1;bottle;109,0;119,0;8,403361344537815;volume;月;0
【汽車百貨】新美孚自動變速箱油1公升;休閒娛樂;149;MOBIL 美孚;規格：1l公升x1x1bottle瓶;新美孚自動變速箱油1公升;0;1;1000,0;33,3;9908;0.00%;0;新美孚自動變速箱油1公升;35307005001;ml;1;bottle;149,0;0,0;0,0;volume;月;0
【汽車百貨】Mobil1 ESP 5w30全合成機油;休閒娛樂;259;MOBIL 美孚;規格：946ml毫升x1x1bottle瓶;MOBIL  5W/30 全合成機油;0;1;946,0;60,0;9910;0.00%;1;MOBIL5W/30全合成機油;35307904001;ml;1;bottle;259,0;0,0;0,0;volume;月;0
【汽車百貨】美孚1號0W20先進全合成機油;休閒娛樂;249;MOBIL 美孚;規格：1l公升x1x1bottle瓶;MOBIL1 0W20全合成機油;299;1;1000,0;60,0;9915;16.72%;0;MOBIL10W20全合成機油;35307912001;ml;1;bottle;249,0;299,0;16,722408026755854;volume;月;0
【汽車百貨】Mobil1 ESP 5w30全合成機油;休閒娛樂;259;MOBIL 美孚;規格：946ml毫升x1x1bottle瓶;Mobil1 ESP 5w30全合成機油;0;1;946,0;60,0;9916;0.00%;1;Mobil1ESP5w30全合成機油;35307925001;ml;1;bottle;259,0;0,0;0,0;volume;月;0
【汽車百貨】愛鐵強汽車引擎機油保護劑TP3000;休閒娛樂;369;;規格：236ml毫升x1x1bottle瓶;愛鐵強油精;478;1;236,0;33,3;9918;22.80%;0;愛鐵強油精;35311004001;ml;1;bottle;369,0;478,0;22,80334728033473;volume;月;0
【汽車百貨】3M化油器清潔劑;休閒娛樂;78;3M;規格：473ml毫升x1x1bottle瓶;3M PN8890化油器清潔劑;0;1;473,0;999,0;9919;0.00%;0;3MPN8890化油器清潔劑;35330011001;ml;1;bottle;78,0;0,0;0,0;volume;標示於包裝上;0
【機車百貨】FGK SX 5W50機車全合成機油;休閒娛樂;198;FGK;規格：800ml毫升x1x1bottle瓶;FGK 5W/50 機車全合成機油;0;1;800,0;999,0;9922;0.00%;1;FGK5W/50機車全合成機油;35751018001;ml;1;bottle;198,0;0,0;0,0;volume;;0
【機車百貨】新美孚四行程超優質機油15W40;休閒娛樂;99;MOBIL 美孚;規格：1l公升x1x1bottle瓶;新美孚四行程超優質15W40機油;129;1;1000,0;33,3;9923;23.26%;0;新美孚四行程超優質15W40機油;35751019001;ml;1;bottle;99,0;129,0;23,25581395348837;volume;月;0
SHELL Adv 4T 10W40 全合成機油<平行輸入>;休閒娛樂;219;Shell;規格：1l公升x1x1bottle瓶;(平)Shell  機油 10W40 4T;0;1;1000,0;60,0;9924;0.00%;0;(平)Shell機油10W404T;35751021001;ml;1;bottle;219,0;0,0;0,0;volume;月;0
【機車百貨】光陽機車齒輪油-110cc;休閒娛樂;49;;規格：110cc西西x1x1bottle瓶;光陽機車齒輪油-110cc;0;1;110,0;33,3;9927;0.00%;0;光陽機車齒輪油-110cc;35752005001;cc;1;bottle;49,0;0,0;0,0;volume;月;0
