iteration,best_objective
0,5.74839973449707
1,5.74839973449707
2,5.74839973449707
3,5.74839973449707
4,6.031800270080566
5,6.031800270080566
6,6.10890007019043
7,6.10890007019043
8,6.10890007019043
9,6.10890007019043
10,6.10890007019043
11,6.10890007019043
12,6.20989990234375
13,6.410900115966797
14,6.410900115966797
15,6.410900115966797
16,6.410900115966797
17,6.410900115966797
18,6.581399917602539
19,6.581399917602539
20,6.581399917602539
21,6.581399917602539
22,6.581399917602539
23,6.581399917602539
