iteration,best_objective
0,27.264699935913086
1,27.59079933166504
2,27.71940040588379
3,27.791400909423828
4,28.06760025024414
5,28.322898864746094
6,28.322898864746094
7,28.322898864746094
8,28.322898864746094
9,28.322898864746094
10,28.322898864746094
11,28.47589874267578
12,28.494701385498047
13,28.494701385498047
14,29.446300506591797
15,29.446300506591797
16,29.446300506591797
17,29.446300506591797
18,29.446300506591797
19,29.446300506591797
20,29.446300506591797
21,29.46990203857422
22,29.46990203857422
23,29.72249984741211
24,29.96860122680664
25,29.96860122680664
26,29.96860122680664
27,29.96860122680664
28,30.111400604248047
29,30.111400604248047
30,30.368297576904297
31,30.447898864746094
32,30.447898864746094
33,30.563800811767578
34,30.626399993896484
35,30.639198303222656
36,30.73740005493164
37,30.73740005493164
38,30.751998901367188
39,30.751998901367188
40,30.871299743652344
41,31.237098693847656
42,31.237098693847656
43,31.237098693847656
44,31.237098693847656
45,31.589801788330078
46,31.589801788330078
47,31.70349884033203
48,31.70349884033203
49,31.773300170898438
50,31.823400497436523
51,32.16699981689453
52,32.16699981689453
53,32.41619873046875
54,32.41619873046875
55,32.41619873046875
56,32.41619873046875
57,32.41619873046875
58,32.41619873046875
59,32.46710205078125
60,32.46710205078125
61,32.46710205078125
62,32.54969787597656
63,32.54969787597656
64,32.65480041503906
65,32.65480041503906
66,32.704200744628906
67,32.704200744628906
68,32.80229949951172
69,32.89759826660156
70,32.89759826660156
71,32.89759826660156
72,32.9989013671875
73,33.029701232910156
74,33.029701232910156
75,33.049598693847656
76,33.059200286865234
77,33.06779861450195
78,33.075401306152344
79,33.075401306152344
80,33.075401306152344
81,33.14419937133789
82,33.169498443603516
83,33.20390319824219
84,33.26249694824219
85,33.3235969543457
86,33.3235969543457
87,33.372398376464844
88,33.457496643066406
89,33.55889892578125
90,33.57969665527344
91,33.598697662353516
92,33.67020034790039
93,33.71310043334961
94,33.755401611328125
95,33.88639831542969
96,33.95560073852539
97,33.95560073852539
98,33.95560073852539
99,34.0458984375
100,34.0458984375
101,34.0609016418457
102,34.08660125732422
103,34.20840072631836
104,34.20840072631836
105,34.211299896240234
106,34.339202880859375
107,34.36140060424805
108,34.36140060424805
109,34.36140060424805
110,34.385799407958984
111,34.39299774169922
112,34.39299774169922
113,34.45090103149414
114,34.520599365234375
115,34.520599365234375
116,34.520599365234375
117,34.520599365234375
118,34.520599365234375
119,34.52570343017578
120,34.52570343017578
121,34.531097412109375
122,34.545799255371094
123,34.56300354003906
124,34.56300354003906
125,34.56300354003906
126,34.58270263671875
127,34.58270263671875
128,34.60060119628906
129,34.75299835205078
130,34.78849792480469
131,34.81560134887695
132,34.81560134887695
133,34.81560134887695
134,34.91590118408203
135,35.08789825439453
136,35.08789825439453
137,35.08789825439453
138,35.10150146484375
139,35.10150146484375
140,35.12710189819336
141,35.15520095825195
142,35.19960021972656
143,35.200096130371094
144,35.200096130371094
145,35.27090072631836
146,35.27090072631836
147,35.27090072631836
148,35.32040023803711
149,35.32040023803711
150,35.36410140991211
151,35.382598876953125
152,35.393898010253906
153,35.413902282714844
154,35.43440246582031
155,35.43440246582031
156,35.44559860229492
157,35.44670104980469
158,35.46630096435547
159,35.472999572753906
160,35.553001403808594
161,35.553001403808594
162,35.562599182128906
163,35.596099853515625
164,35.596099853515625
165,35.64219665527344
166,35.68970489501953
167,35.68970489501953
168,35.69750213623047
169,35.7056999206543
170,35.7056999206543
171,35.72249984741211
172,35.72249984741211
173,35.785301208496094
174,35.821197509765625
175,35.821197509765625
176,35.821197509765625
177,35.869903564453125
178,35.869903564453125
179,35.869903564453125
180,35.869903564453125
181,35.869903564453125
182,35.95830154418945
183,35.95830154418945
184,35.96149826049805
185,35.964698791503906
186,35.964698791503906
187,36.00080108642578
188,36.006202697753906
189,36.03150177001953
190,36.03150177001953
191,36.03150177001953
192,36.03369903564453
193,36.03369903564453
194,36.047000885009766
195,36.09259796142578
196,36.11330032348633
197,36.11370086669922
198,36.14520263671875
199,36.16259765625
200,36.16259765625
201,36.20199966430664
202,36.20949935913086
203,36.20949935913086
204,36.25419998168945
205,36.25419998168945
206,36.25669860839844
207,36.3052978515625
208,36.3052978515625
209,36.37670135498047
210,36.37670135498047
211,36.37670135498047
212,36.50230026245117
213,36.50230026245117
214,36.51799774169922
215,36.51799774169922
216,36.53810119628906
217,36.53810119628906
218,36.59700012207031
219,36.59700012207031
220,36.59700012207031
221,36.59700012207031
222,36.631099700927734
223,36.79010009765625
224,36.79010009765625
225,36.79010009765625
226,37.003299713134766
227,37.003299713134766
228,37.003299713134766
229,37.003299713134766
230,37.003299713134766
231,37.025299072265625
232,37.025299072265625
233,37.05010223388672
234,37.05010223388672
235,37.08110046386719
236,37.087196350097656
237,37.11899948120117
238,37.371803283691406
239,37.37670135498047
240,37.37670135498047
241,37.37670135498047
242,37.45020294189453
243,37.52330017089844
244,37.52330017089844
245,37.579898834228516
246,37.60409927368164
247,37.60409927368164
248,37.67720031738281
249,37.67720031738281
250,37.691200256347656
251,37.743099212646484
252,37.743099212646484
253,37.743099212646484
254,37.773597717285156
255,37.77989959716797
256,37.781898498535156
257,37.781898498535156
258,37.80839920043945
259,37.81050109863281
260,37.82939910888672
261,37.86530303955078
262,37.90310287475586
263,37.935302734375
264,37.99140167236328
265,37.99140167236328
266,38.02629852294922
267,38.06880187988281
268,38.122802734375
269,38.122802734375
270,38.1510009765625
271,38.16539764404297
272,38.23670196533203
273,38.23670196533203
274,38.23670196533203
275,38.26329803466797
276,38.328800201416016
277,38.328800201416016
278,38.38119888305664
279,38.390602111816406
280,38.390602111816406
281,38.407798767089844
282,38.407798767089844
283,38.43239974975586
284,38.52199935913086
285,38.52199935913086
286,38.52199935913086
