scenario;replication;replications_total;snapshot_kind;snapshot_target_tick;order_mode;bootstrap_seed;pod_location_mode;pod_location_seed;ticks_elapsed;steps_elapsed;stopped_cleanly_before_horizon;arrived_orders_by_horizon;fulfilled_orders;fulfilled_over_arrived;throughput_orders_per_hour;on_hold_orders;unfinished_orders;job_queue_length;sku_queue_length;pod_visits;delivered_order_lines;picked_units;delivered_order_lines_per_pod_visit;picked_units_per_pod_visit;replenishment_count;replenishment_trips;health_status_final;health_consistency_violations;health_zombie_orders;health_pending_replenishment_count;health_aged_pending_replenishment_count;health_oldest_pending_replenishment_age;health_last_progress_tick;health_progress_gap;health_stalled_tick_count;stop_and_go;total_energy;total_fixed_load_energy;variable_energy;energy_per_fulfilled_order;fixed_energy_per_fulfilled_order;variable_energy_per_delivered_line;energy_per_pod_visit;variable_energy_per_pod_visit;wall_clock_seconds;repldbg_watchlist_refreshes;repldbg_critical_sku_total;repldbg_critical_sku_peak;repldbg_enqueue_attempts;repldbg_pending_request_exists_count;repldbg_no_eligible_pod_count;repldbg_qj_gate_block_count;repldbg_dispatch_blocked_no_station;repldbg_dispatch_blocked_no_robot;repldbg_dispatch_blocked_pod_not_idle;repldbg_dispatch_removed_no_longer_needed;repldbg_dispatched_count;repldbg_send_success_count;repldbg_block_escalation_count;repldbg_max_pending_request_age;repldbg_max_pending_request_pod;repldbg_top_no_eligible_skus;repldbg_top_pending_request_skus;repldbg_top_qj_gate_pods;repldbg_top_pod_not_idle_pods;repldbg_top_no_robot_pods;repldbg_top_no_station_pods;repldbg_top_block_escalated_pods
My Scenario;1;1;checkpoint;20000.0;fixed_actual;;shuffle;42;20000.10000000703;133334;0;16052;1138;0.07089459257413407;3.413982930084149;0;14914;0;45;3794;4913;33575;1.2949393779652083;8.849499209277807;55;55;healthy;0;0;0;0;0;0;20000;0;78391;32269400.20681493;4061380.2683999613;28208019.93841497;28356.239197552663;3568.875455535994;5741.506195484422;8505.376965423018;7434.902461363988;4230.096403121948;66.0;20.0;2.0;84.0;10.0;19.0;19.0;0.0;0.0;30525.0;0.0;0.0;55.0;55.0;76.0;128.0;39:7,2531:6,2296:3,292:2,2366:1;4119:1,41:1,292:1,20:1,183:1;124:7,115:6,38:3,80:2,92:1;80:2612,26:1609,71:1552,89:1388,64:1354;;;80:3,38:3,71:2,89:2,108:2
My Scenario;1;1;checkpoint;40000.0;fixed_actual;;shuffle;42;40000.05000020105;266667;0;16052;2408;0.15001245950660355;3.611995484987489;3;13644;0;81;7507;9622;62787;1.2817370454242707;8.36379379246037;215;213;healthy;0;0;0;0;0;0;40000;0;149113;64876446.02929764;8159188.783200091;56717257.24609755;26942.045693229917;3388.3674348837585;5894.539310548488;8642.126818875402;7555.249400039636;8659.997995853424;133.0;154.0;5.0;436.0;32.0;191.0;191.0;0.0;0.0;118134.0;0.0;0.0;213.0;213.0;87.0;122.0;2366:30,2231:26,2272:23,2531:16,3323:14;292:2,2563:2,4119:1,41:1,20:1;92:30,131:26,20:23,115:16,24:15;80:4279,89:2887,20:2700,15:2679,97:2639;;;38:6,97:5,80:5,9:5,15:5
My Scenario;1;1;checkpoint;80000.0;fixed_actual;;shuffle;42;80000.0999998875;533334;0;16052;5262;0.3278096187390979;3.946495066886716;3;10790;0;66;14938;18901;132141;1.2652965591109921;8.84596331503548;609;600;healthy;0;0;0;0;0;0;80000;0;289141;130243257.35650633;16431748.176479565;113811509.18002677;24751.664263874256;3122.7191517445012;6021.4543770185055;8718.922034844445;7618.925504085338;16554.84351706505;266.0;539.0;8.0;1402.0;96.0;706.0;706.0;0.0;0.0;333731.0;0.0;0.0;600.0;600.0;87.0;122.0;2198:61,2352:50,2443:44,2123:39,2531:33;292:3,183:2,2563:2,3271:2,3925:2;92:92,77:50,35:44,20:39,132:39;80:11314,90:6544,84:6259,67:6135,87:5817;;;80:14,97:11,67:11,9:11,15:11
My Scenario;1;1;final;100000.0;fixed_actual;;shuffle;42;100000.0499991114;666667;0;16052;6884;0.42885621729379514;4.1303979348377355;4;9168;0;78;18627;23515;170893;1.2624147742524292;9.17447790841252;868;852;healthy;0;0;0;0;0;0;100000;0;359690;162993057.140427;20603988.459599108;142389068.6808279;23677.08558111955;2993.0256332944664;6055.244256042011;8750.365444807376;7644.229810534594;20026.056354761124;333.0;776.0;8.0;1962.0;145.0;963.0;963.0;0.0;0.0;473103.0;0.0;0.0;852.0;854.0;87.0;122.0;2198:79,2923:54,2393:51,2352:50,2366:49;292:3,183:3,2328:2,2563:2,3277:2;92:128,20:65,95:54,117:51,77:50;80:14194,90:11032,84:9071,58:8935,89:8562;;;80:18,58:18,97:15,84:15,9:15
