item_code;minimum_inventory;minimum_inventory_ceiling
10034049001;36;36
10034050001;343;343
10034057001;42;42
10034999001;391;391
10035001001;106;106
10035002001;111;111
10035003001;131;131
10035006001;287;287
10035011001;209;209
10035012001;236;236
10035013001;234;234
10035015001;288;288
10035021001;1104;1104
10035027001;16;16
10035028001;337;337
10035034001;698;698
10035035001;775;775
10035036001;120;120
10035041001;165;165
10035046001;139;139
10040001001;135;135
10040002001;288;288
10040003001;786;786
10040004001;60;60
10040005001;621;621
10040008001;239;239
10040009001;214;214
10040010001;366;366
10040011001;282;282
10040014001;366;366
10040015001;165;165
10040016001;308;308
10040017001;78;78
10040018001;130;130
10040019001;38;38
10040020001;452;452
10040021001;243;243
10040022001;342;342
10040023001;337;337
10040024001;24;24
10040025001;80;80
10040026001;65;65
10040027001;377;377
10040028001;34;34
10040031001;248;248
10040032001;747;747
10040033001;140;140
10040034001;285;285
10040035001;154;154
10040037001;36;36
10040038001;121;121
10040039001;131;131
10040040001;37;37
10040041001;395;395
10040042001;52;52
10040044001;134;134
10040048001;838;838
10040049001;48;48
10040050001;165;165
10040056001;166;166
10040062001;488;488
10040063001;2196;2196
10040066001;433;433
10040071001;351;351
10040078001;80;80
10040079001;40;40
10040081001;218;218
10040082001;279;279
10040094001;39;39
10040111001;227;227
10041001001;145;145
10041003001;179;179
10041004001;319;319
10041007001;282;282
10041008001;179;179
10041009001;222;222
10041014001;96;96
10041016001;96;96
10041032001;185;185
10041033001;138;138
10041034001;207;207
10041038001;270;270
10041039001;160;160
10041040001;303;303
10041058001;54;54
10041067001;911;911
10041069001;48;48
10041085001;306;306
10041087001;96;96
10041899001;451;451
10051001001;4;4
10051034001;29;29
10052004001;11;11
10052014001;82;82
10052015001;17;17
10052017001;23;23
10052019001;20;20
10052020001;26;26
10052024001;26;26
10052025001;32;32
10052033001;4;4
10052035001;19;19
10052046001;8;8
10053901001;92;92
10053903001;24;24
10053904001;54;54
10100132001;92;92
10904008001;4;4
10904021001;12;12
10904899001;4;4
11010001001;69;69
11010005001;4;4
11010007001;34;34
11010012001;4;4
11010013001;7;7
11010016001;23;23
11010018001;11;11
11010019001;23;23
11010020001;21;21
11010021001;19;19
11010022001;36;36
11010023001;33;33
11010025001;16;16
11010027001;13;13
11010035001;29;29
11010038001;4;4
11010040001;19;19
11010042001;22;22
11010043001;27;27
11010045001;13;13
11010051001;4;4
11010052001;8;8
11010055001;8;8
11010057001;8;8
