item_code;minimum_inventory;minimum_inventory_ceiling;inventory_basis_source;paired_historical_product;pre_t_order_count;daily_observation_count;lead_time_sample_size;percentile_position;percentile_rank;percentile_weight
12233028001;2,0;2;full_horizon_lead_time_percentile_n_plus_one;;0;1;1;1,8;1;0,0
12233034001;2,0;2;full_horizon_lead_time_percentile_n_plus_one;;3;4;4;4,5;4;0,0
12233035001;2,0;2;full_horizon_lead_time_percentile_n_plus_one;;2;4;4;4,5;4;0,0
12234005001;1,0;1;full_horizon_lead_time_percentile_n_plus_one;;1;1;1;1,8;1;0,0
12234029001;12,0;12;full_horizon_lead_time_percentile_n_plus_one;;25;21;21;19,8;19;0,8000000000000007
12234038001;1,0;1;full_horizon_lead_time_percentile_n_plus_one;;2;12;12;11,700000000000001;11;0,7000000000000011
12234901001;3,8000000000000043;4;full_horizon_lead_time_percentile_n_plus_one;;2;12;12;11,700000000000001;11;0,7000000000000011
12234915001;2,0;2;full_horizon_lead_time_percentile_n_plus_one;;2;12;12;11,700000000000001;11;0,7000000000000011
12234916001;2,0;2;full_horizon_lead_time_percentile_n_plus_one;;0;1;1;1,8;1;0,0
12234920001;1,0;1;full_horizon_lead_time_percentile_n_plus_one;;1;1;1;1,8;1;0,0
12234921001;1,0;1;full_horizon_lead_time_percentile_n_plus_one;;1;1;1;1,8;1;0,0
12234934001;1,0;1;full_horizon_lead_time_percentile_n_plus_one;;0;1;1;1,8;1;0,0
12301001001;5,0;5;full_horizon_lead_time_percentile_n_plus_one;;20;20;20;18,900000000000002;18;0,9000000000000021
12301004001;1,1999999999999993;2;full_horizon_lead_time_percentile_n_plus_one;;4;17;17;16,2;16;0,1999999999999993
12301010001;2,0;2;full_horizon_lead_time_percentile_n_plus_one;;8;20;20;18,900000000000002;18;0,9000000000000021
12301011001;6,0;6;full_horizon_lead_time_percentile_n_plus_one;;41;21;21;19,8;19;0,8000000000000007
12301023001;12,0;12;full_horizon_lead_time_percentile_n_plus_one;;4;21;21;19,8;19;0,8000000000000007
12301027001;16,799999999999994;17;full_horizon_lead_time_percentile_n_plus_one;;5;13;13;12,6;12;0,5999999999999996
12302044001;1,0;1;full_horizon_lead_time_percentile_n_plus_one;;2;3;3;3,6;3;0,0
12302047001;1,0;1;full_horizon_lead_time_percentile_n_plus_one;;1;1;1;1,8;1;0,0
12320030001;1,0;1;full_horizon_lead_time_percentile_n_plus_one;;2;8;8;8,1;8;0,0
12321040001;3,5;4;full_horizon_lead_time_percentile_n_plus_one;;2;14;14;13,5;13;0,5
12323010001;1,0;1;full_horizon_lead_time_percentile_n_plus_one;;2;4;4;4,5;4;0,0
12324139001;1,0;1;full_horizon_lead_time_percentile_n_plus_one;;2;5;5;5,4;5;0,0
12325047001;1,0;1;full_horizon_lead_time_percentile_n_plus_one;;2;14;14;13,5;13;0,5
12326002001;2,0;2;full_horizon_lead_time_percentile_n_plus_one;;1;1;1;1,8;1;0,0
12326005001;1,0;1;full_horizon_lead_time_percentile_n_plus_one;;1;1;1;1,8;1;0,0
12326090001;1,0;1;full_horizon_lead_time_percentile_n_plus_one;;1;7;7;7,2;7;0,0
12326152001;4,0;4;full_horizon_lead_time_percentile_n_plus_one;;9;8;8;8,1;8;0,0
12326167001;3,9000000000000004;4;full_horizon_lead_time_percentile_n_plus_one;;1;10;10;9,9;9;0,9000000000000004
12327002001;2,0;2;full_horizon_lead_time_percentile_n_plus_one;;2;4;4;4,5;4;0,0
12327007001;4,0;4;full_horizon_lead_time_percentile_n_plus_one;;3;9;9;9,0;9;0,0
12327009001;48,0;48;full_horizon_lead_time_percentile_n_plus_one;;6;14;14;13,5;13;0,5
12327014001;1,0;1;full_horizon_lead_time_percentile_n_plus_one;;1;1;1;1,8;1;0,0
12327015001;1,0;1;full_horizon_lead_time_percentile_n_plus_one;;1;1;1;1,8;1;0,0
12327022001;1,0;1;full_horizon_lead_time_percentile_n_plus_one;;1;1;1;1,8;1;0,0
12327023001;3,0;3;full_horizon_lead_time_percentile_n_plus_one;;3;6;6;6,3;6;0,0
12327025001;2,9000000000000004;3;full_horizon_lead_time_percentile_n_plus_one;;8;10;10;9,9;9;0,9000000000000004
12327027001;4,0;4;full_horizon_lead_time_percentile_n_plus_one;;4;11;11;10,8;10;0,8000000000000007
12327028001;24,0;24;full_horizon_lead_time_percentile_n_plus_one;;1;1;1;1,8;1;0,0
12327040001;11,0;11;full_horizon_lead_time_percentile_n_plus_one;;4;7;7;7,2;7;0,0
12327048001;1,8000000000000007;2;full_horizon_lead_time_percentile_n_plus_one;;6;11;11;10,8;10;0,8000000000000007
12327050001;2,0;2;full_horizon_lead_time_percentile_n_plus_one;;9;19;19;18,0;18;0,0
12327052001;1,1000000000000014;2;full_horizon_lead_time_percentile_n_plus_one;;3;18;18;17,1;17;0,10000000000000142
12327056001;24,0;24;full_horizon_lead_time_percentile_n_plus_one;;2;17;17;16,2;16;0,1999999999999993
12327057001;10,5;11;full_horizon_lead_time_percentile_n_plus_one;;28;14;14;13,5;13;0,5
12327058001;1,0;1;full_horizon_lead_time_percentile_n_plus_one;;1;1;1;1,8;1;0,0
12327059001;2,0;2;full_horizon_lead_time_percentile_n_plus_one;;3;18;18;17,1;17;0,10000000000000142
12327062001;2,0;2;full_horizon_lead_time_percentile_n_plus_one;;5;16;16;15,3;15;0,3000000000000007
12327063001;2,0;2;full_horizon_lead_time_percentile_n_plus_one;;2;1;1;1,8;1;0,0
12327064001;1,0;1;full_horizon_lead_time_percentile_n_plus_one;;3;5;5;5,4;5;0,0
12327077001;3,0;3;full_horizon_lead_time_percentile_n_plus_one;;2;3;3;3,6;3;0,0
12327086001;6,0;6;full_horizon_lead_time_percentile_n_plus_one;;0;1;1;1,8;1;0,0
12327088001;1,4000000000000004;2;full_horizon_lead_time_percentile_n_plus_one;;4;15;15;14,4;14;0,40000000000000036
12343304001;1,0;1;full_horizon_lead_time_percentile_n_plus_one;;1;1;1;1,8;1;0,0
12344036001;2,0;2;full_horizon_lead_time_percentile_n_plus_one;;1;1;1;1,8;1;0,0
12344037001;3,0;3;full_horizon_lead_time_percentile_n_plus_one;;2;3;3;3,6;3;0,0
14000002001;10,8;11;full_horizon_lead_time_percentile_n_plus_one;;84;21;21;19,8;19;0,8000000000000007
14000003001;27,50000000000001;28;full_horizon_lead_time_percentile_n_plus_one;;45;20;20;18,900000000000002;18;0,9000000000000021
14000006001;52,400000000000006;53;full_horizon_lead_time_percentile_n_plus_one;;256;21;21;19,8;19;0,8000000000000007
14000008001;10,500000000000007;11;full_horizon_lead_time_percentile_n_plus_one;;8;18;18;17,1;17;0,10000000000000142
14000010001;12,600000000000001;13;full_horizon_lead_time_percentile_n_plus_one;;60;21;21;19,8;19;0,8000000000000007
14000011001;23,8;24;full_horizon_lead_time_percentile_n_plus_one;;172;21;21;19,8;19;0,8000000000000007
14000014001;18,800000000000004;19;full_horizon_lead_time_percentile_n_plus_one;;95;21;21;19,8;19;0,8000000000000007
14000015001;7,0;7;full_horizon_lead_time_percentile_n_plus_one;;22;21;21;19,8;19;0,8000000000000007
14000018001;5,900000000000002;6;full_horizon_lead_time_percentile_n_plus_one;;34;20;20;18,900000000000002;18;0,9000000000000021
14000020001;1,0;1;full_horizon_lead_time_percentile_n_plus_one;;1;4;4;4,5;4;0,0
14000021001;6,800000000000001;7;full_horizon_lead_time_percentile_n_plus_one;;41;21;21;19,8;19;0,8000000000000007
14000022001;22,6;23;full_horizon_lead_time_percentile_n_plus_one;;134;21;21;19,8;19;0,8000000000000007
14000023001;1,0;1;full_horizon_lead_time_percentile_n_plus_one;;2;19;19;18,0;18;0,0
14000025001;2,0;2;full_horizon_lead_time_percentile_n_plus_one;;0;1;1;1,8;1;0,0
14000027001;14,400000000000002;15;full_horizon_lead_time_percentile_n_plus_one;;74;21;21;19,8;19;0,8000000000000007
14000032001;44,599999999999994;45;full_horizon_lead_time_percentile_n_plus_one;;280;21;21;19,8;19;0,8000000000000007
14000033001;17,200000000000003;18;full_horizon_lead_time_percentile_n_plus_one;;79;21;21;19,8;19;0,8000000000000007
14000036001;1,4000000000000004;2;full_horizon_lead_time_percentile_n_plus_one;;10;15;15;14,4;14;0,40000000000000036
14000039001;35,6;36;full_horizon_lead_time_percentile_n_plus_one;;300;21;21;19,8;19;0,8000000000000007
14000040001;18,900000000000002;19;full_horizon_lead_time_percentile_n_plus_one;;92;20;20;18,900000000000002;18;0,9000000000000021
14000041001;10,8;11;full_horizon_lead_time_percentile_n_plus_one;;68;21;21;19,8;19;0,8000000000000007
14000042001;14,0;14;full_horizon_lead_time_percentile_n_plus_one;;109;21;21;19,8;19;0,8000000000000007
14000043001;13,400000000000002;14;full_horizon_lead_time_percentile_n_plus_one;;86;21;21;19,8;19;0,8000000000000007
14000050001;4,800000000000001;5;full_horizon_lead_time_percentile_n_plus_one;;36;21;21;19,8;19;0,8000000000000007
14000055001;5,900000000000002;6;full_horizon_lead_time_percentile_n_plus_one;;22;20;20;18,900000000000002;18;0,9000000000000021
14000057001;79,2;80;full_horizon_lead_time_percentile_n_plus_one;;488;21;21;19,8;19;0,8000000000000007
14000060001;16,8;17;full_horizon_lead_time_percentile_n_plus_one;;99;21;21;19,8;19;0,8000000000000007
14000061001;5,0;5;full_horizon_lead_time_percentile_n_plus_one;;30;19;19;18,0;18;0,0
14000066001;5,0;5;full_horizon_lead_time_percentile_n_plus_one;;17;21;21;19,8;19;0,8000000000000007
14000067001;2,0;2;full_horizon_lead_time_percentile_n_plus_one;;12;11;11;10,8;10;0,8000000000000007
14000071001;17,6;18;full_horizon_lead_time_percentile_n_plus_one;;105;21;21;19,8;19;0,8000000000000007
14000073001;35,8;36;full_horizon_lead_time_percentile_n_plus_one;;196;21;21;19,8;19;0,8000000000000007
14000075001;19,900000000000002;20;full_horizon_lead_time_percentile_n_plus_one;;114;20;20;18,900000000000002;18;0,9000000000000021
14000098001;2,4000000000000004;3;full_horizon_lead_time_percentile_n_plus_one;;11;15;15;14,4;14;0,40000000000000036
14000099001;1,6000000000000014;2;full_horizon_lead_time_percentile_n_plus_one;;7;16;16;15,3;15;0,3000000000000007
14000102001;2,1000000000000014;3;full_horizon_lead_time_percentile_n_plus_one;;10;18;18;17,1;17;0,10000000000000142
14000106001;4,0;4;full_horizon_lead_time_percentile_n_plus_one;;13;7;7;7,2;7;0,0
14000123001;7,0;7;full_horizon_lead_time_percentile_n_plus_one;;48;19;19;18,0;18;0,0
14000131001;3,0;3;full_horizon_lead_time_percentile_n_plus_one;;15;11;11;10,8;10;0,8000000000000007
14000196001;51,8;52;full_horizon_lead_time_percentile_n_plus_one;;193;21;21;19,8;19;0,8000000000000007
14000197001;63,2;64;full_horizon_lead_time_percentile_n_plus_one;;272;21;21;19,8;19;0,8000000000000007
14000219001;1,0;1;full_horizon_lead_time_percentile_n_plus_one;;2;4;4;4,5;4;0,0
14000220001;5,0;5;full_horizon_lead_time_percentile_n_plus_one;;17;8;8;8,1;8;0,0
14001001001;7,0;7;full_horizon_lead_time_percentile_n_plus_one;;11;7;7;7,2;7;0,0
14001002001;10,600000000000001;11;full_horizon_lead_time_percentile_n_plus_one;;55;21;21;19,8;19;0,8000000000000007
14001003001;6,0;6;full_horizon_lead_time_percentile_n_plus_one;;34;20;20;18,900000000000002;18;0,9000000000000021
14001007001;14,0;14;full_horizon_lead_time_percentile_n_plus_one;;34;21;21;19,8;19;0,8000000000000007
14001008001;17,50000000000001;18;full_horizon_lead_time_percentile_n_plus_one;;30;20;20;18,900000000000002;18;0,9000000000000021
14001009001;11,800000000000004;12;full_horizon_lead_time_percentile_n_plus_one;;49;20;20;18,900000000000002;18;0,9000000000000021
14001010001;14,500000000000036;15;full_horizon_lead_time_percentile_n_plus_one;;20;18;18;17,1;17;0,10000000000000142
14001012001;16,800000000000004;17;full_horizon_lead_time_percentile_n_plus_one;;114;20;20;18,900000000000002;18;0,9000000000000021
14001014001;24,0;24;full_horizon_lead_time_percentile_n_plus_one;;3;6;6;6,3;6;0,0
14001017001;26,000000000000004;27;full_horizon_lead_time_percentile_n_plus_one;;158;21;21;19,8;19;0,8000000000000007
14001018001;8,0;8;full_horizon_lead_time_percentile_n_plus_one;;35;20;20;18,900000000000002;18;0,9000000000000021
14001019001;5,0;5;full_horizon_lead_time_percentile_n_plus_one;;19;18;18;17,1;17;0,10000000000000142
14001029001;3,0;3;full_horizon_lead_time_percentile_n_plus_one;;12;18;18;17,1;17;0,10000000000000142
