scenario;result_kind;checkpoint_target_tick;checkpoint_interval_ticks;replication;replications_total;order_mode;bootstrap_seed;pod_location_mode;pod_location_seed;ticks_elapsed;steps_elapsed;stopped_cleanly_before_horizon;arrived_orders_by_horizon;fulfilled_orders;fulfilled_over_arrived;throughput_orders_per_hour;on_hold_orders;unfinished_orders;job_queue_length;sku_queue_length;pod_visits;delivered_order_lines;picked_units;delivered_order_lines_per_pod_visit;picked_units_per_pod_visit;replenishment_count;replenishment_trips;health_status_final;health_consistency_violations;health_zombie_orders;health_pending_replenishment_count;health_aged_pending_replenishment_count;health_oldest_pending_replenishment_age;health_last_progress_tick;health_progress_gap;health_stalled_tick_count;stop_and_go;total_energy;total_fixed_load_energy;variable_energy;energy_per_fulfilled_order;fixed_energy_per_fulfilled_order;variable_energy_per_delivered_line;energy_per_pod_visit;variable_energy_per_pod_visit;wall_clock_seconds
Cindy Scenario 3;final;;;1;10;bootstrap_actual;42;shuffle;43;200000.0999952309;1333334;0;8656;6227;0.7193853974121996;1.8680990659950127;33;2429;0;20;14321;16109;143232;1.124851616507227;10.001536205572236;1269;1168;healthy;0;0;0;0;0;0;200000;0;310537;137830783.6445132;16390200.284639573;121440583.35987362;22134.379901158372;2632.11824066799;7538.679207888362;9624.382630019774;8479.895493322647;12561.269073963165
Cindy Scenario 3;final;;;2;10;bootstrap_actual;43;shuffle;43;200000.0999952309;1333334;0;7674;7641;0.9956997654417513;2.292298853905234;20;33;0;14;17790;20060;178428;1.1275997751545812;10.029679595278246;1773;1579;healthy;0;0;0;0;0;0;200000;0;354108;165493755.09824148;20487787.27631912;145005967.82192236;21658.651367391896;2681.2965942048318;7228.612553435811;9302.628167410989;8150.981889933803;6331.0553822517395
Cindy Scenario 3;final;;;3;10;bootstrap_actual;44;shuffle;43;200000.0999952309;1333334;0;9580;9500;0.9916492693110647;2.849998575068672;30;80;0;43;21927;24771;217877;1.129703105760022;9.93647101746705;2270;2016;healthy;0;0;0;0;0;0;200000;0;430822;204067495.0945386;25327378.265279073;178740116.8292595;21480.78895731985;2666.0398173977974;7215.700489655626;9306.6764762411;8151.599253398072;7807.632933616638
Cindy Scenario 3;final;;;4;10;bootstrap_actual;45;shuffle;43;200000.0999952309;1333334;0;8312;8108;0.9754571703561117;2.4323987838586096;22;204;0;46;18237;20292;188502;1.1126830070735318;10.336239513077809;1822;1646;healthy;0;0;0;0;0;0;200000;0;366949;170245816.8121657;21031158.87599908;149214657.93616664;20997.26403702093;2593.877513073394;7353.373641640383;9335.187630211421;8181.973895715669;6715.354138851166
Cindy Scenario 3;final;;;5;10;bootstrap_actual;46;shuffle;43;200000.0999952309;1333334;0;8446;8315;0.9844896992659247;2.494498752810106;26;131;0;45;18463;20860;194117;1.1298272220115908;10.513838487786384;1854;1660;healthy;0;0;0;0;0;0;200000;0;366637;173009074.86495182;21284753.621039074;151724321.24391276;20806.864084780736;2559.801998922318;7273.457394243181;9370.583050693376;8217.750162157437;6483.83052611351
