scenario;replication;replications_total;snapshot_kind;snapshot_target_tick;order_mode;bootstrap_seed;pod_location_mode;pod_location_seed;ticks_elapsed;steps_elapsed;stopped_cleanly_before_horizon;arrived_orders_by_horizon;fulfilled_orders;fulfilled_over_arrived;throughput_orders_per_hour;on_hold_orders;unfinished_orders;job_queue_length;sku_queue_length;pod_visits;delivered_order_lines;picked_units;delivered_order_lines_per_pod_visit;picked_units_per_pod_visit;replenishment_count;replenishment_trips;health_status_final;health_consistency_violations;health_zombie_orders;health_pending_replenishment_count;health_aged_pending_replenishment_count;health_oldest_pending_replenishment_age;health_last_progress_tick;health_progress_gap;health_stalled_tick_count;stop_and_go;total_energy;total_fixed_load_energy;variable_energy;energy_per_fulfilled_order;fixed_energy_per_fulfilled_order;variable_energy_per_delivered_line;energy_per_pod_visit;variable_energy_per_pod_visit;wall_clock_seconds;repldbg_watchlist_refreshes;repldbg_critical_sku_total;repldbg_critical_sku_peak;repldbg_enqueue_attempts;repldbg_pending_request_exists_count;repldbg_no_eligible_pod_count;repldbg_qj_gate_block_count;repldbg_dispatch_blocked_no_station;repldbg_dispatch_blocked_no_robot;repldbg_dispatch_blocked_pod_not_idle;repldbg_dispatch_removed_no_longer_needed;repldbg_dispatched_count;repldbg_send_success_count;repldbg_block_escalation_count;repldbg_max_pending_request_age;repldbg_max_pending_request_pod;repldbg_top_no_eligible_skus;repldbg_top_pending_request_skus;repldbg_top_qj_gate_pods;repldbg_top_pod_not_idle_pods;repldbg_top_no_robot_pods;repldbg_top_no_station_pods;repldbg_top_block_escalated_pods
Scenario 4 (Sij);1;1;checkpoint;20000.0;fixed_actual;;shuffle;42;20000.10000000703;133334;0;16052;1161;0.072327435833541;3.4829825850858502;0;14891;0;59;3841;4987;33807;1.2983598021348608;8.80161416297839;57;56;healthy;0;0;0;0;0;0;20000;0;69934;32650414.165088832;4112207.5175999603;28538206.647488873;28122.66508620916;3541.953072868183;5722.519881188866;8500.498350713053;7429.889780653182;4229.108394622803;66.0;21.0;2.0;89.0;11.0;20.0;20.0;0.0;0.0;35382.0;0.0;0.0;56.0;58.0;76.0;90.0;2531:8,39:4,2296:3,2366:3,292:2;3309:2,41:1,292:1,334:1,2568:1;115:8,123:4,39:3,91:3,77:2;75:2435,130:2091,112:1649,69:1460,79:1424;;;130:3,112:3,75:3,69:2,89:2
Scenario 4 (Sij);1;1;checkpoint;40000.0;fixed_actual;;shuffle;42;40000.05000020105;266667;0;16052;2414;0.15038624470470968;3.620995473737458;3;13638;0;95;7553;9652;62886;1.2779028200714948;8.325963193433074;217;215;healthy;0;0;0;0;0;0;40000;0;139806;65193001.67820187;8209277.622000093;56983724.05620178;27006.214448302348;3400.694955261016;5903.82553421071;8631.40496202858;7544.515299377967;8646.564133644104;133.0;150.0;4.0;434.0;36.0;182.0;182.0;0.0;0.0;122030.0;0.0;0.0;215.0;216.0;85.0;23.0;2366:40,2578:32,2272:21,2531:18,3323:13;3309:2,41:1,292:1,334:1,2568:1;91:40,115:39,29:32,85:13,38:12;23:4039,132:3926,130:3848,35:3057,75:2902;;;130:6,23:6,132:6,112:5,6:5
Scenario 4 (Sij);1;1;checkpoint;80000.0;fixed_actual;;shuffle;42;80000.0999998875;533334;0;16052;5263;0.32787191627211565;3.947245065949218;3;10789;0;83;15014;18903;132166;1.2590249100839217;8.802850672705475;613;602;healthy;0;0;0;0;0;0;80000;0;279828;130953508.68122113;16513760.958239557;114439747.72298157;24881.913106825217;3137.7087133269156;6054.052146377907;8722.093291675845;7622.202459236817;16471.470835208893;266.0;541.0;7.0;1410.0;97.0;711.0;711.0;0.0;0.0;338225.0;0.0;0.0;602.0;602.0;88.0;128.0;3600:89,2578:51,2123:50,2352:47,2366:41;334:2,3309:2,2296:2,3885:2,3289:2;40:107,115:63,29:51,129:50,80:47;79:7506,23:7262,77:7223,132:7183,35:6496;;;58:13,77:12,23:12,132:11,6:10
Scenario 4 (Sij);1;1;final;100000.0;fixed_actual;;shuffle;42;100000.0499991114;666667;0;16052;6879;0.4285447296287067;4.127397936337708;4;9173;0;52;18707;23493;170786;1.2558400598706367;9.129523707703;868;849;healthy;0;0;0;0;0;0;100000;0;350040;163642853.08600062;20686616.5833591;142956236.50264153;23788.75608169801;3007.2127610639773;6085.056676569256;8747.680177794442;7641.857941018951;19948.21467232704;333.0;767.0;7.0;1989.0;136.0;1003.0;1003.0;0.0;0.0;475161.0;0.0;0.0;849.0;850.0;88.0;128.0;2366:112,3600:89,2272:52,3460:52,2578:51;334:2,3309:2,2296:2,2366:2,343:2;91:112,40:107,115:90,39:61,29:51;79:10926,132:10685,58:9947,77:8944,130:8491;;;58:20,132:16,77:15,6:14,23:14
