scenario;result_kind;checkpoint_target_tick;checkpoint_interval_ticks;replication;replications_total;order_mode;bootstrap_seed;pod_location_mode;pod_location_seed;ticks_elapsed;steps_elapsed;stopped_cleanly_before_horizon;arrived_orders_by_horizon;fulfilled_orders;fulfilled_over_arrived;throughput_orders_per_hour;on_hold_orders;unfinished_orders;job_queue_length;sku_queue_length;pod_visits;delivered_order_lines;picked_units;delivered_order_lines_per_pod_visit;picked_units_per_pod_visit;replenishment_count;replenishment_trips;health_status_final;health_consistency_violations;health_zombie_orders;health_pending_replenishment_count;health_aged_pending_replenishment_count;health_oldest_pending_replenishment_age;health_last_progress_tick;health_progress_gap;health_stalled_tick_count;stop_and_go;total_energy;total_fixed_load_energy;variable_energy;energy_per_fulfilled_order;fixed_energy_per_fulfilled_order;variable_energy_per_delivered_line;energy_per_pod_visit;variable_energy_per_pod_visit;wall_clock_seconds
My Scenario Fallback Random;final;;;1;10;bootstrap_actual;42;shuffle;42;200000.0999952309;1333334;0;8656;8281;0.9566774491682071;2.48429875790986;25;375;0;44;18764;21375;190151;1.1391494350884672;10.133820081006181;1880;1684;healthy;0;0;0;0;0;0;200000;0;374366;173879461.13011846;21628803.640079074;152250657.49003938;20997.39900134265;2611.858910769119;7122.837777311784;9266.652159993522;8113.976630251513;6921.205249786377
My Scenario Fallback Random;final;;;2;10;bootstrap_actual;43;shuffle;42;200000.0999952309;1333334;0;7674;305;0.039744592129267654;0.09149995425220472;3;7369;0;33;685;768;7373;1.121167883211679;10.763503649635037;12;12;healthy;0;0;0;0;0;0;200000;0;1698109;22336958.377466235;723568.3509600001;21613390.026506234;73235.92910644667;2372.3552490491807;28142.43493034666;32608.698361264578;31552.394199279173;17229.588894844055
My Scenario Fallback Random;final;;;3;10;bootstrap_actual;44;shuffle;42;200000.0999952309;1333334;0;9580;9501;0.9917536534446764;2.8502985749186793;31;79;0;43;21424;24770;217935;1.1561799850634802;10.172470126960418;2225;1961;healthy;0;0;0;0;0;0;200000;0;428452;199601748.53860226;24738692.880719062;174863055.6578832;21008.49895154218;2603.798850722983;7059.469344282729;9316.735835446334;8162.017161028902;8061.117951631546
My Scenario Fallback Random;final;;;4;10;bootstrap_actual;45;shuffle;42;200000.0999952309;1333334;0;8312;2296;0.2762271414821944;0.688799655616597;16;6016;0;36;5032;5691;53106;1.1309618441971383;10.553656597774244;237;220;healthy;0;0;0;0;0;0;200000;0;3202933;44694179.83156257;5545314.421919946;39148865.40964262;19466.106198415753;2415.2066297560737;6879.083712817189;8881.991222488587;7779.981202234226;8741.382200241089
