item_code;minimum_inventory;inventory_basis_source;paired_historical_product;pre_t_order_count
10021007001;134;historical_empirical_quantile;;73
10021008001;2538;historical_empirical_quantile;;484
10021009001;456;historical_empirical_quantile;;94
10021010001;80;historical_empirical_quantile;;28
10021015001;132;historical_empirical_quantile;;43
10021016001;516;historical_empirical_quantile;;192
10021017001;256;historical_empirical_quantile;;68
10021018001;36;historical_empirical_quantile;;11
10021021001;128;historical_empirical_quantile;;47
10021022001;96;historical_empirical_quantile;;19
10021025001;4038;historical_empirical_quantile;;988
10021026001;254;historical_empirical_quantile;;1784
10021027001;768;historical_empirical_quantile;;128
10021034001;104;historical_empirical_quantile;;34
10021035001;342;historical_empirical_quantile;;451
10021040001;36;historical_empirical_quantile;;8
10022003001;48;historical_empirical_quantile;;3
10022006001;48;historical_empirical_quantile;;3
10022008001;120;historical_empirical_quantile;;14
10022011001;15;historical_empirical_quantile;;35
10022012001;48;historical_empirical_quantile;;6
10022015001;6;historical_empirical_quantile;;8
10022016001;48;historical_empirical_quantile;;8
10022020001;24;historical_empirical_quantile;;4
10022024001;24;historical_empirical_quantile;;6
10022030001;174;historical_empirical_quantile;;87
10022910001;53;random_allocation_historical_average_proxy;;1
10022915001;6;historical_empirical_quantile;;4
10022916001;8;historical_empirical_quantile;;8
10023002001;4;historical_empirical_quantile;;18
10023005001;6;historical_empirical_quantile;;13
10023008001;4;historical_empirical_quantile;;9
10023011001;5;historical_empirical_quantile;;8
10023017001;1;historical_empirical_quantile;;5
10023020001;12;historical_empirical_quantile;;83
10023031001;5;historical_empirical_quantile;;4
10023032001;2;historical_empirical_quantile;;2
10023035001;60;historical_empirical_quantile;;9
10023044001;5;historical_empirical_quantile;;10
10023049001;3;historical_empirical_quantile;;12
10023051001;5;historical_empirical_quantile;;8
10023054001;2;historical_empirical_quantile;;5
10023055001;5;historical_empirical_quantile;;2
10023058001;8;historical_empirical_quantile;;4
10023063001;6;historical_empirical_quantile;;3
10023066001;2;historical_empirical_quantile;;7
10023068001;3;historical_empirical_quantile;;3
10023073001;18;historical_empirical_quantile;;2
10023075001;53;random_allocation_historical_average_proxy;;1
10023078001;3;historical_empirical_quantile;;5
10023083001;2;historical_empirical_quantile;;7
10023093001;7;historical_empirical_quantile;;8
10023102001;53;random_allocation_historical_average_proxy;;1
10023103001;4;historical_empirical_quantile;;8
10023104001;2;historical_empirical_quantile;;3
10023106001;8;historical_empirical_quantile;;22
10023110001;5;historical_empirical_quantile;;5
10023114001;4;historical_empirical_quantile;;9
10023124001;5;historical_empirical_quantile;;6
10023892001;4;historical_empirical_quantile;;10
10023998001;1;historical_empirical_quantile;;2
10024001001;126;historical_empirical_quantile;;15
10024003001;11;historical_empirical_quantile;;11
10024004001;126;historical_empirical_quantile;;46
10024005001;48;historical_empirical_quantile;;5
10024006001;12;historical_empirical_quantile;;3
10024007001;222;historical_empirical_quantile;;116
10024011001;184;historical_empirical_quantile;;71
10024014001;164;historical_empirical_quantile;;19
10030001001;12;historical_empirical_quantile;;6
10030005001;63;historical_empirical_quantile;;38
10030007001;544;historical_empirical_quantile;;308
10030008001;216;historical_empirical_quantile;;42
10030013001;726;historical_empirical_quantile;;208
10030014001;180;historical_empirical_quantile;;97
10030015001;60;historical_empirical_quantile;;40
10030017001;79;historical_empirical_quantile;;14
10030018001;84;historical_empirical_quantile;;42
10030019001;168;historical_empirical_quantile;;22
10030020001;12;historical_empirical_quantile;;5
10030021001;120;historical_empirical_quantile;;16
10030046001;204;historical_empirical_quantile;;73
10030048001;484;historical_empirical_quantile;;324
10030049001;101;historical_empirical_quantile;;41
10031001001;1092;historical_empirical_quantile;;395
10031003001;48;historical_empirical_quantile;;4
10031004001;180;historical_empirical_quantile;;61
10031007001;88;historical_empirical_quantile;;50
10031011001;93;historical_empirical_quantile;;54
10031012001;100;historical_empirical_quantile;;33
10031013001;876;historical_empirical_quantile;;401
10031015001;24;historical_empirical_quantile;;3
10031017001;312;historical_empirical_quantile;;81
10031019001;172;historical_empirical_quantile;;55
10031023001;28;historical_empirical_quantile;;9
10031026001;24;historical_empirical_quantile;;9
10031031001;504;historical_empirical_quantile;;190
10031033001;400;historical_empirical_quantile;;147
10031899001;6;historical_empirical_quantile;;8
10031901001;381;historical_empirical_quantile;;61
10031909001;53;random_allocation_historical_average_proxy;;1
10031910001;882;historical_empirical_quantile;;196
10031911001;216;historical_empirical_quantile;;61
10031916001;26;historical_empirical_quantile;;137
10032001001;36;historical_empirical_quantile;;17
10032004001;48;historical_empirical_quantile;;4
10032006001;1326;historical_empirical_quantile;;399
10032007001;8;historical_empirical_quantile;;5
10032008001;774;historical_empirical_quantile;;233
