requested_k;actual_n_clusters;silhouette_score;dtw_dispersion;elbow_distance;selected;clustering_method;dtw_window;feature_used;normalization_applied_to_clustering_input;auxiliary_matrix_export;distance_input;cluster_selection;silhouette_usage
24;24;0.2854395819631793;540.6036278085504;24.951242335842544;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
25;25;0.2822198750997237;538.6036278085504;24.140718437044193;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
26;26;0.2794950358262405;533.869225792496;23.583373370560206;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
27;27;0.2756628006130062;530.7997213984245;22.871875098592263;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
28;28;0.2746519330403046;517.432374459649;23.11385613782939;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
29;29;0.2675887024872605;513.7418352877856;22.45985960077269;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
30;30;0.268002773992232;509.075168621119;21.896242904673265;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
31;31;0.2655308670017353;507.575168621119;21.039423905368864;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
32;32;0.2638837061868511;504.86183528778565;20.29494768329248;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
33;33;0.2622932154784719;503.16183528778566;19.456646724190485;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
34;34;0.2615314331654134;499.6896010299331;18.78243729126361;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
35;35;0.2578375291209441;497.71171170166747;17.969866160924845;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
36;36;0.2564671501072991;495.9668137424839;17.135722312888703;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
37;37;0.2566595241015614;494.2168137424839;16.302050863837312;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
38;38;0.259367848570064;488.85681374248384;15.802630040439626;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
39;39;0.2572282177507399;486.8809285751947;14.989873344433203;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
40;40;0.2571270354009223;483.294261908528;14.326259231240712;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
41;41;0.2560099393251646;482.46092857519466;13.40771343126157;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
42;42;0.2605893476800728;473.470048190672;13.244476552517714;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
43;43;0.2589998611771191;471.720048190672;12.410805103466325;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
44;44;0.2588889702009246;468.7692961618304;11.688311526131073;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
45;45;0.2590498190845529;467.06181316863314;10.850703418873403;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
46;46;0.2618111234264021;461.61315749674327;10.359491241956844;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
47;47;0.2606367780261455;460.06686120044697;9.506958826032628;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
48;48;0.2592066018369784;459.0320199306057;8.607070686400284;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
49;49;0.2600107734683932;456.2820199306057;7.865989438361008;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
50;50;0.2601859360649309;453.7369546733903;7.105933241292934;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
51;51;0.2571721712263987;453.0571486769177;6.173172314333015;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
52;52;0.2594363288077918;450.0329295462597;5.457481070722726;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
53;53;0.2579470542535027;451.3810776944079;4.3369514618690275;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
54;54;0.2617728313579952;445.50996273189503;3.884854875590689;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
55;55;0.2618581341826849;444.2163119382442;3.0089299617917256;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
56;56;0.2647658586146812;438.4156647023325;2.5503087545425163;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
57;57;0.2646505248620193;437.125392593489;1.6740710076380951;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
58;58;0.2633979673894146;434.93491840718144;0.8811831520375596;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
59;59;0.2715607657174136;424.6276432294024;0.8398315318125891;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
60;60;0.2710500933645121;422.9441738416473;3.2667787728851637e-15;False;dtw_window_1_average_linkage;1;row_sum_normalized_daily_unique_order_frequency;row_sum;raw_daily_unique_order_frequency;precomputed_dtw_distance_matrix;maximum_elbow_distance_from_raw_dtw_dispersion_curve;validation_only
