title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton;is_new_product;item_role;log_capacity;log_original_price;log_estimation_discount;log_shelf_life;Promo_normalized;log_capacity_normalized;log_original_price_normalized;log_estimation_discount_normalized;log_shelf_life_normalized;cluster;distance_to_new_product;same_cluster_as_new;new_product_first
波蜜果菜汁Can240ml;飲料零食;159.0;波蜜;規格：240ml毫升x1x24Can罐;波蜜果菜汁Can240ml;0.0;1;240.0;24.0;98;0.00%;1;10010018001;unique_master_match;1;1;ml;24;can;6.625;0.0;0.0;volume;month;0.0;1.0;40.0;27.0;10.0;7.25;24.0;0;historical;5.484796933490655;0.0;0.0;3.2188758248682006;0.6587581226451357;-0.7787153287766101;-1.4372472001711705;-1.3634021813521084;1.6720608903962488;26;1.4460612268710964;1;1
聖沛黎洛氣泡礦泉水250ml*6入/組;飲料零食;249.0;聖沛黎洛;規格：250ml毫升x1x6Bottle瓶;聖沛黎洛氣泡礦泉水250ml;0.0;1;250.0;30.0;665;0.00%;1;10041009001;unique_master_match;1;1;ml;6;bottle;41.5;0.0;0.0;volume;month;0.0;1.0;35.0;23.0;18.0;10.2;24.0;0;historical;5.5254529391317835;0.0;0.0;3.4339872044851463;0.6587581226451357;-0.7357551675663615;-1.4372472001711705;-1.3634021813521084;2.2967603072717995;13;1.5358847488998841;1;1
維他露P 250ml;飲料零食;188.0;維他露P;規格：250ml毫升x1x24Bottle瓶;維他露P 250ml;0.0;1;250.0;18.0;39;0.00%;1;10002001001;unique_master_match;1;1;ml;24;bottle;7.833333333333333;0.0;0.0;volume;month;0.0;1.0;41.0;28.0;10.0;6.82;24.0;0;historical;5.5254529391317835;0.0;0.0;2.9444389791664403;0.6587581226451357;-0.7357551675663615;-1.4372472001711705;-1.3634021813521084;0.8750759155225646;141;1.6136535100922422;1;1
金車奧利多Can240ml;飲料零食;96.0;金車;規格：240ml毫升x1x6Bottle瓶;金車奧利多Can240ml;0.0;1;240.0;18.0;311;0.00%;1;10022030001;unique_master_match;1;1;ml;6;bottle;16.0;0.0;0.0;volume;month;0.0;1.0;33.0;22.0;14.0;6.53;24.0;0;historical;5.484796933490655;0.0;0.0;2.9444389791664403;0.6587581226451357;-0.7787153287766101;-1.4372472001711705;-1.3634021813521084;0.8750759155225646;141;1.6511444885394941;1;1
韋恩特濃黑咖Can210ml;飲料零食;108.0;黑松;規格：210ml毫升x1x6CAN罐;韋恩特濃黑咖Can210ml;0.0;1;210.0;18.0;262;0.00%;1;10020046001;unique_master_match;1;1;ml;6;can;18.0;0.0;0.0;volume;month;0.0;1.0;33.0;22.0;12.0;6.81;24.0;0;historical;5.351858133476067;0.0;0.0;2.9444389791664403;0.6587581226451357;-0.9191883582752639;-1.4372472001711705;-1.3634021813521084;0.8750759155225646;141;1.7754650086129897;1;1
韋恩 Flash Brew閃萃黑咖啡-500ml;飲料零食;124.0;黑松韋恩;規格：500ml毫升x1x4BOTTLE瓶;韋恩 Flash Brew閃萃黑咖啡500ml;0.0;1;500.0;13.0;239;0.00%;1;10020016001;unique_master_match;1;1;ml;4;bottle;31.0;0.0;0.0;volume;month;0.0;1.0;42.0;29.0;20.0;13.124;24.0;0;historical;6.2166061010848646;0.0;0.0;2.6390573296152584;0.6587581226451357;-0.005431300520254936;-1.4372472001711705;-1.3634021813521084;-0.01177506715826356;168;1.8132657529798053;1;1
悅氏Light鹼性水720ml;飲料零食;259.0;悅氏;規格：720ml毫升x1x20Bottle瓶;悅氏Light鹼性水720ml;0.0;1;720.0;12.0;641;0.00%;1;10040066001;unique_master_match;1;1;ml;20;bottle;12.95;0.0;0.0;volume;month;0.0;1.0;37.0;30.0;25.0;16.0;20.0;0;historical;6.580639137284949;0.0;0.0;2.5649493574615367;0.6587581226451357;0.37923309713496295;-1.4372472001711705;-1.3634021813521084;-0.2269901202749257;67;1.9207820613510405;1;1
家樂福竹炭水600ml;飲料零食;54.0;家樂福;規格：600ml毫升x1x6Bottle瓶;家福竹炭水600ml;0.0;1;600.0;12.0;611;0.00%;1;10040020001;unique_master_match;1;1;ml;6;bottle;9.0;0.0;0.0;volume;month;0.0;1.0;41.0;28.0;24.0;15.15;24.0;0;historical;6.398594934535208;0.0;0.0;2.5649493574615367;0.6587581226451357;0.18687164464616965;-1.4372472001711705;-1.3634021813521084;-0.2269901202749257;67;1.9588900554543451;1;1
十全葡萄醋飲料(即飲品)140mlx6;飲料零食;180.0;十全;規格：140ml毫升x1x6Bag包;十全葡萄醋飲料(即飲品)140ml;0.0;1;140.0;25.0;717;0.00%;1;10053904001;unique_master_match;1;1;ml;6;bag;30.0;0.0;0.0;volume;month;0.0;1.0;42.0;26.0;19.0;6.2;36.0;0;historical;4.948759890378168;0.0;0.0;3.258096538021482;0.6587581226451357;-1.3451319608001313;-1.4372472001711705;-1.3634021813521084;1.7859607532483586;140;2.0156984673553717;1;1
味丹多喝水2000ml;飲料零食;214.0;味丹;規格：2000ml毫升x1x8Bottle瓶;味丹多喝水2000ml;0.0;1;2000.0;12.0;609;0.00%;1;10040018001;unique_master_match;1;1;ml;8;bottle;26.75;0.0;0.0;volume;month;0.0;1.0;38.0;22.0;31.0;16.93;8.0;0;historical;7.601402334583733;0.0;0.0;2.5649493574615367;0.6587581226451357;1.4578474573485145;-1.4372472001711705;-1.3634021813521084;-0.2269901202749257;9;2.0570093476487314;1;1
