item_code;item_role;cluster;distance_to_new_product
10002911001;new;90;0.0
10024001001;historical;90;0.16600053666987916
10002942001;historical;3;0.7672213837845874
10014009001;historical;30;0.7906709195970746
10034015001;historical;166;0.8655377811971158
10022910001;historical;180;0.8762661871982591
10020034001;historical;166;0.9018402040004204
10002005001;historical;206;0.9831440159179377
10040032001;historical;110;1.072390633002698
10020015001;historical;131;1.0752042475714423
10022012001;historical;175;1.0903342138632093
10032064001;historical;110;1.1042091261717548
10014067001;historical;189;1.1242434701689068
10022024001;historical;12;1.1810390272338405
10010002001;historical;19;1.191120032939945
10010035001;historical;19;1.191120032939945
10021025001;historical;19;1.2055528505740498
10040021001;historical;104;1.2078083139143654
10002018001;historical;101;1.2199826065638029
10041087001;historical;145;1.2394221296363357
10000023001;historical;56;1.2790843457550116
10035036001;historical;56;1.2958635758302413
10020041001;historical;138;1.3193352725350438
10040027001;historical;128;1.3347350689027213
10030019001;historical;107;1.440831943047388
10002011001;historical;174;1.4419072111929863
10010012001;historical;46;1.445136595150542
10023110001;historical;65;1.5280392392624473
10035034001;historical;130;1.5471469132659779
10040023001;historical;64;1.568065326947274
10040078001;historical;64;1.5902835066313423
10022006001;historical;92;1.6631246553893835
10031004001;historical;9;1.6688945588803321
10016020001;historical;91;1.7099033753962383
10031026001;historical;93;1.7995980810443195
10000007001;historical;129;1.8083203867391646
10032020001;historical;9;1.8491754779314697
10033031001;historical;201;1.8713623773432635
10040034001;historical;124;1.8765883784456177
10001035001;historical;9;1.8815321742352156
10033023001;historical;9;1.8972798374437085
10040001001;historical;27;1.9323953292117668
10040008001;historical;31;1.9561024276091339
10040081001;historical;31;1.9561024276091339
10030007001;historical;9;1.965284249181285
10000012001;historical;9;1.9660755667507455
10052046001;historical;97;1.9755482186618911
10052015001;historical;53;1.9787219334063304
10002026001;historical;84;2.0087257010177426
10030014001;historical;135;2.026440226087537
10023055001;historical;70;2.0772514719639585
10023068001;historical;70;2.0772514719639585
10040048001;historical;188;2.169211019896928
10002046001;historical;160;2.1696967143947576
10041008001;historical;136;2.1862173246385668
10014073001;historical;34;2.18864143427845
10014126001;historical;34;2.18864143427845
10033020001;historical;165;2.1958588518866344
10016014001;historical;34;2.211175704254685
10032015001;historical;149;2.2115565468893315
10020017001;historical;140;2.2751605267425887
10035015001;historical;127;2.3009905578308545
10014130001;historical;95;2.301889595801455
10014113001;historical;95;2.3023255944131
10020003001;historical;10;2.315570486876031
10020006001;historical;10;2.315570486876031
10034013001;historical;81;2.329849940128725
10023103001;historical;87;2.330980428338214
10024014001;historical;146;2.333981413471434
10020004001;historical;10;2.338154245450528
10020019001;historical;10;2.338154245450528
10020024001;historical;10;2.338154245450528
10020025001;historical;10;2.338154245450528
10014111001;historical;95;2.34093436796805
10033068001;historical;33;2.3432919607734894
10022020001;historical;48;2.344939363903369
10022908001;historical;48;2.344939363903369
10035028001;historical;33;2.3476217058692077
10031001001;historical;33;2.3495002271956222
10014020001;historical;148;2.3495373352503246
10020033001;historical;127;2.355186454328179
10032059001;historical;179;2.3599351846394265
10022016001;historical;194;2.3609074949425564
10021040001;historical;147;2.3624956335468714
10031013001;historical;4;2.3694568228668134
10032013001;historical;4;2.3694568228668134
10033064001;historical;4;2.3694568228668134
10002072001;historical;16;2.3698939820527327
10014110001;historical;168;2.3703417940141116
10014080001;historical;33;2.3793355252524324
10011028001;historical;191;2.3870447819997747
10020011001;historical;21;2.387714412039482
10014051001;historical;72;2.4059422872946956
10001020001;historical;81;2.4143276389192136
10000005001;historical;81;2.4151728410117266
10020007001;historical;72;2.4155970828832087
10020018001;historical;72;2.4155970828832087
10000003001;historical;81;2.416249476301679
10020012001;historical;45;2.416545535895276
10001006001;historical;81;2.4172430997506704
10002007001;historical;81;2.4172430997506704
10001005001;historical;81;2.418730944569344
10031017001;historical;105;2.420708955394563
10002102001;historical;62;2.4235510268720546
10030046001;historical;66;2.4249182342478544
10031910001;historical;105;2.4269137295024703
10100132001;historical;21;2.4282164017068966
10052014001;historical;67;2.4282809644120085
10031911001;historical;105;2.4286463075464875
10034011001;historical;105;2.4286463075464875
10032006001;historical;105;2.429335283415958
10034999001;historical;105;2.4295313073067017
10013005001;historical;105;2.430007202662069
10021008001;historical;105;2.4327930528973347
10034025001;historical;154;2.4329086202761925
10035046001;historical;58;2.4370287033881985
10002014001;historical;68;2.44407096809596
10034049001;historical;181;2.4472463397607633
10011001001;historical;21;2.447368376512665
10002008001;historical;105;2.4474008633313913
10035003001;historical;55;2.4480186652573304
10011004001;historical;154;2.4500295606639204
10001009001;historical;154;2.4542937029431084
10031003001;historical;58;2.4551383029129403
10014055001;historical;89;2.4558804344712257
10034003001;historical;153;2.45766173211649
10021027001;historical;154;2.459201369906088
10032055001;historical;202;2.4614158854277073
10014024001;historical;153;2.4622833655160097
10032008001;historical;169;2.466030130884281
10032047001;historical;169;2.466030130884281
10023002001;historical;20;2.466728910406455
10023027001;historical;20;2.466728910406455
10033012001;historical;171;2.4674974247558525
10002021001;historical;155;2.470674966911543
10000011001;historical;21;2.4714923569446183
10001012001;historical;21;2.4714923569446183
10010019001;historical;49;2.472948075987051
10014090001;historical;153;2.4799403231464487
10016015001;historical;153;2.4799403231464487
10034022001;historical;122;2.4832502721613916
10034041001;historical;122;2.4832502721613916
10002899001;historical;198;2.483425588407353
10014106001;historical;68;2.4844911471308455
10021035001;historical;153;2.488223948187947
10035027001;historical;102;2.4883573552763836
10011021001;historical;106;2.49535783727491
10002071001;historical;199;2.4961798694065838
10013007001;historical;150;2.500017407821897
10021010001;historical;58;2.501552849062688
10021017001;historical;58;2.501552849062688
10040005001;historical;178;2.5028475332969764
10011003001;historical;150;2.503508146446472
10035013001;historical;66;2.504412255434269
10031023001;historical;66;2.5058175272373
10034042001;historical;49;2.515323265157523
10015011001;historical;49;2.5168420340258284
10032011001;historical;49;2.5168420340258284
10010009001;historical;66;2.5230001971363683
10030021001;historical;66;2.5305671020781473
10030022001;historical;66;2.5305671020781473
10014023001;historical;115;2.5309033298822343
10002037001;historical;54;2.537890035376962
10002038001;historical;54;2.537890035376962
10041039001;historical;171;2.5416692142189747
10041040001;historical;171;2.5416692142189747
10024004001;historical;106;2.545219055925529
10024007001;historical;106;2.545219055925529
10032019001;historical;115;2.5583233640189924
10014037001;historical;2;2.5805433212279496
10041004001;historical;186;2.584998865474746
10031015001;historical;43;2.590831197257337
10041007001;historical;186;2.5944213312068074
10033029001;historical;137;2.5990463214309796
10014062001;historical;126;2.605978584117349
10022003001;historical;139;2.621597167855921
10014028001;historical;115;2.631188507518579
10035021001;historical;47;2.6439114504513177
10031012001;historical;47;2.6457909143626304
10034002001;historical;47;2.6457909143626304
10034007001;historical;47;2.6457909143626304
10014097001;historical;192;2.6644317278826115
10040071001;historical;61;2.6716799887734415
10012009001;historical;29;2.678473288364303
10023054001;historical;120;2.680315744380754
10011007001;historical;29;2.6870296341766506
10012002001;historical;29;2.6870296341766506
10013004001;historical;29;2.6870296341766506
10014043001;historical;29;2.6870296341766506
10014030001;historical;11;2.709680384345533
10021015001;historical;151;2.728331085792876
10033041001;historical;151;2.7294243195781602
10034033001;historical;151;2.7320787216876776
10011023001;historical;17;2.738210294318929
10012006001;historical;17;2.738210294318929
10013012001;historical;17;2.738210294318929
10021016001;historical;151;2.7404642272444906
10021018001;historical;118;2.7484097187918546
10021006001;historical;151;2.7518779231598334
10030017001;historical;100;2.75251316363584
10033057001;historical;151;2.7894024478621104
10014029001;historical;156;2.795311469651729
10032014001;historical;75;2.8023568535602643
10000998001;historical;193;2.8299623115360926
10001025001;historical;76;2.845307452012469
10011016001;historical;71;2.847311566781086
10013003001;historical;71;2.847311566781086
10033028001;historical;112;2.848904207975233
