title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton;is_new_product;item_role
登豐 紅豆;米油沖泡;89.0;;規格：400g克x1x1Pack包;登豐 紅豆;99.0;1;400.0;12.0;8540;10.10%;0;14700035001;unique_master_match;1;1;g;1;pack;89.0;99.0;10.1010101010101;weight;month;10.1;0.0;38.0;22.0;14.0;5.06;12.0;1;new
家樂福低筋麵粉1000g;米油沖泡;43.0;家樂福;規格：1000g克x1x1Pack包;家福低筋麵粉;45.0;1;1000.0;9.0;8601;4.44%;1;14740003001;unique_master_match;1;1;g;1;pack;43.0;45.0;4.444444444444445;weight;month;4.44;1.0;45.0;34.0;19.0;12.73;12.0;1;new
台糖整片鳳梨 565g;米油沖泡;171.0;台糖;規格：565g克x1x3Can罐;台糖整片鳳梨 565g;338.0;1;565.0;36.0;8644;49.41%;0;14801012001;unique_master_match;1;1;g;3;can;57.0;112.66666666666669;49.40828402366864;weight;month;49.41;0.0;34.0;27.0;12.0;7.5;12.0;1;new
宏昇五香辣豆腐乳;米油沖泡;41.0;宏昇;規格：130g克x1x1Can罐;宏昇五香辣腐乳;0.0;1;130.0;36.0;8755;0.00%;1;14822104001;unique_master_match;1;1;g;1;can;41.0;0.0;0.0;weight;month;0.0;1.0;20.0;15.0;10.0;2.98;12.0;1;new
澳洲奶協會全脂牛奶1000ml;生鮮冷凍;99.0;澳洲奶協會;規格：1000ml毫升x1x1Bottle瓶;倍瑞100％全脂牛奶1000ml;129.0;1;1000.0;12.0;9015;23.26%;1;15020007001;unique_master_match;1;1;ml;1;bottle;99.0;129.0;23.25581395348837;volume;month;23.26;1.0;37.0;20.0;22.0;13.12;12.0;1;new
BOSS 4開3插2P高溫斷電延長線1.8米 C-57;日用生活;359.0;BOSS;規格：1PC個x1x1PC個;BOSS 4開3插2P高溫斷電延長線-1.8米;399.0;1;1.0;999.0;9126;10.03%;1;30071041001;unique_master_match;1;1;pc;1;pc;359.0;399.0;10.025062656641603;count;month;10.03;1.0;14.0;23.0;29.0;2.0;6.0;1;new
BOSS 按壓式7開6插3P高溫斷電延長線1.8米 S-85NC;日用生活;399.0;BOSS;規格：1PC個x1x1PC個;BOSS 7開6插3P高溫斷電延長線-1.8米;599.0;1;1.0;999.0;9135;33.39%;1;30073007001;unique_master_match;1;1;pc;1;pc;399.0;599.0;33.3889816360601;count;month;33.39;1.0;50.0;31.0;40.0;14.0;22.0;1;new
【免洗餐具】自然風環保植纖圓紙盤 7吋;休閒娛樂;32.0;自然風;規格：1Pack包x1x1PACK包;自然風環保植纖圓紙盤10吋;35.0;1;1.0;999.0;9171;8.57%;1;31227009001;unique_master_match;1;1;pack;1;pack;32.0;35.0;8.571428571428571;count;month;8.57;1.0;26.0;26.0;14.0;2.2;12.0;1;new
【免洗餐具】西式塑膠湯匙(顏色隨機出貨);休閒娛樂;25.0;自然風;規格：20PC支x1x1Bag包;西式塑膠湯匙;29.0;1;20.0;999.0;9187;13.79%;1;31250003001;unique_master_match;1;1;pc;1;bag;25.0;29.0;13.79310344827586;count;month;13.79;1.0;25.0;17.0;21.0;1.0;24.0;1;new
妙潔防霉耐用絨裡手套M;日用生活;35.0;妙潔;規格：1PC包x1x1Pack包;妙潔防霉耐用絨裡手套M;49.0;1;1.0;60.0;9430;28.57%;1;31530003001;unique_master_match;1;1;pc;1;pack;35.0;49.0;28.57142857142857;count;month;28.57;1.0;4.0;30.0;30.0;0.5;12.0;1;new
妙潔防霉耐用絨裡手套L;日用生活;35.0;妙潔;規格：1PC包x1x1Pack包;妙潔防霉耐用絨裡手套L;49.0;1;1.0;60.0;9431;28.57%;1;31530005001;unique_master_match;1;1;pc;1;pack;35.0;49.0;28.57142857142857;count;month;28.57;1.0;27.0;23.0;6.0;1.0;12.0;1;new
3M百利免手洗魔布拖把專用補充包(2入);日用生活;395.0;3M;規格：1PC個x1x1PC個;3M百利免手洗魔布拖把;399.0;1;1.0;120.0;9490;1.00%;0;31543032001;unique_master_match;1;1;pc;1;pc;395.0;399.0;1.0025062656641603;count;month;1.0;0.0;59.0;46.0;29.0;11.06;12.0;1;new
威拂魔撢本體握把(藍)-本體1把+魔撢1片;日用生活;56.0;威拂;規格：1Box盒x1x1Box盒;威拂魔撢本體握把(藍);62.0;1;1.0;999.0;9515;9.68%;1;31556012001;unique_master_match;1;1;box;1;box;56.0;62.0;9.67741935483871;count;month;9.68;1.0;51.0;33.0;26.0;5.0;24.0;1;new
3M 無痕大型掛鉤;日用生活;149.0;3M;規格：1PC個x1x1PC個;3M 無痕大型掛鉤;179.0;1;1.0;36.0;9653;16.76%;1;31707041001;unique_master_match;1;1;pc;1;pc;149.0;179.0;16.75977653631285;count;month;16.76;1.0;35.0;29.0;22.0;1.53;24.0;1;new
手牌銀色長尾夾(32mm) 36入;休閒娛樂;112.0;SDI;規格：36PC個x1x1Bucket筒;手牌銀色長尾夾(32mm)0234-1;0.0;1;36.0;999.0;9758;0.00%;1;32421016001;unique_master_match;1;1;pc;1;bucket;112.0;0.0;0.0;count;month;0.0;1.0;47.0;36.0;10.0;4.0;12.0;1;new
3M利貼可再貼便條紙3*3混色;休閒娛樂;119.0;3M;規格：4PC本x1x1Set組;3M利貼可再貼便條紙3*3混色;0.0;1;4.0;999.0;9774;0.00%;0;32470025001;unique_master_match;1;1;pc;1;set;119.0;0.0;0.0;count;month;0.0;0.0;17.0;17.0;15.0;2.27;12.0;1;new
紙質雙上彈簧夾(24入/箱)-顏色隨機出貨;休閒娛樂;816.0;;規格：1PC個x1x24PC個;紙質雙上彈簧夾;0.0;1;1.0;999.0;9787;0.00%;0;32502011001;unique_master_match;1;1;pc;24;pc;34.0;0.0;0.0;count;month;0.0;0.0;33.0;39.0;26.0;4.0;24.0;1;new
同春加寬兩孔拱型檔案夾(款式隨機出貨);休閒娛樂;115.0;同春;規格：1PC個x1x1PC個;同春加寬兩孔拱型檔案夾;120.0;1;1.0;999.0;9809;4.17%;0;32504024001;unique_master_match;1;1;pc;1;pc;115.0;120.0;4.166666666666666;count;month;4.17;0.0;64.0;21.0;33.0;1.0;12.0;1;new
震旦A4專業型護貝機LM4232H;休閒娛樂;990.0;震旦;規格：1PC個x1x1PC個;震旦A4專業型護貝機;0.0;1;1.0;999.0;9838;0.00%;1;32523001001;unique_master_match;1;1;pc;1;pc;990.0;0.0;0.0;count;month;0.0;1.0;45.0;24.0;31.0;13.5;4.0;1;new
達新牌 TS-2660專業子吹風機（顏色隨機出貨）;生活家電;469.0;達新牌;規格：1PC支x1x1PC支;達新牌 TS-2660專業子吹風機;0.0;1;1.0;999.0;10109;0.00%;0;41401040001;unique_master_match;1;1;pc;1;pc;469.0;0.0;0.0;count;month;0.0;0.0;39.0;28.0;27.0;5.0;6.0;1;new
百靈 閘式清潔液;生活家電;399.0;;規格：1Set組x1x1Set組;百靈 閘式清潔液;0.0;1;1.0;36.0;10140;0.00%;1;41417013001;unique_master_match;1;1;set;1;set;399.0;0.0;0.0;count;month;0.0;1.0;9.0;10.0;13.0;0.3;1.0;1;new
收藏家電子防潮箱 CF-88;熱門3C;4550.0;收藏家;規格：1Set台x1x1Set台;收藏家電子防潮箱 CF-87;5590.0;1;1.0;999.0;10220;18.60%;0;42015012001;unique_master_match;1;1;set;1;set;4550.0;5590.0;18.6046511627907;count;month;18.6;0.0;45.0;44.0;79.0;13.0;1.0;1;new
宜而爽新舒棉男前開口三角褲<M>;服飾鞋包;139.0;宜而爽;規格：1PC件x1x1PC件;宜而爽新舒棉三角褲;169.0;1;1.0;999.0;10246;17.75%;1;61062008001;ambiguous_master_match_resolved_with_order_history;3;3;pc;1;pc;139.0;169.0;17.75147928994083;count;month;17.75;1.0;26.0;13.0;18.0;1.0;12.0;1;new
精品繽紛中腰免洗褲淑女型<XXL>;服飾鞋包;104.0;安多精品;規格：1PC包x1x1PC包;精品繽紛中腰免洗褲淑女型;105.0;1;1.0;999.0;10279;0.95%;0;61080007004;ambiguous_master_match_resolved_with_order_history;4;2;pc;1;pc;104.0;105.0;0.9523809523809524;count;month;0.95;0.0;19.0;18.0;15.0;1.2;12.0;1;new
