sample_item_i;sample_item_j;dtw_distance;series_i_time_index;series_j_time_index
14821003001;14506001001;0.06281808571253335;0;0
14821003001;14506001001;0.06281808571253335;1;1
14821003001;14506001001;0.06281808571253335;2;2
14821003001;14506001001;0.06281808571253335;3;3
14821003001;14506001001;0.06281808571253335;4;4
14821003001;14506001001;0.06281808571253335;5;5
14821003001;14506001001;0.06281808571253335;6;6
14821003001;14506001001;0.06281808571253335;7;7
14821003001;14506001001;0.06281808571253335;8;8
14821003001;14506001001;0.06281808571253335;9;9
14821003001;14506001001;0.06281808571253335;10;10
14821003001;14506001001;0.06281808571253335;11;11
14821003001;14506001001;0.06281808571253335;12;12
14821003001;14506001001;0.06281808571253335;13;13
14821003001;14506001001;0.06281808571253335;14;14
14821003001;14506001001;0.06281808571253335;15;15
14821003001;14506001001;0.06281808571253335;16;16
14821003001;14506001001;0.06281808571253335;17;17
