sample_item_i;sample_item_j;dtw_distance;series_i_time_index;series_j_time_index
0;1;0.22277280188725435;0;0
0;1;0.22277280188725435;1;1
0;1;0.22277280188725435;2;2
0;1;0.22277280188725435;3;3
0;1;0.22277280188725435;4;4
0;1;0.22277280188725435;5;5
0;1;0.22277280188725435;6;5
0;1;0.22277280188725435;7;6
0;1;0.22277280188725435;8;7
0;1;0.22277280188725435;9;8
0;1;0.22277280188725435;10;9
0;1;0.22277280188725435;11;10
0;1;0.22277280188725435;11;11
0;1;0.22277280188725435;11;12
0;1;0.22277280188725435;12;13
0;1;0.22277280188725435;13;14
0;1;0.22277280188725435;14;15
0;1;0.22277280188725435;15;16
0;1;0.22277280188725435;16;16
0;1;0.22277280188725435;17;17
