title;category;price;brand;specification;query;original_price;original_price_checked;capacity;shelf_life;order;Discount;Promo;item_code;item_code_resolution_status;master_candidate_count;order_supported_master_candidates;capacity_unit;pieces_per_package;package_unit;price_per_piece;original_price_per_piece;estimation_discount;capacity_category;shelf_life_unit;discount_numeric;promo_numeric;carton_length_cm;carton_width_cm;carton_height_cm;carton_weight;units_per_carton;inventory_quantity;is_new_product;item_role;log_capacity;log_price_per_piece;log_estimation_discount;log_shelf_life;Promo_normalized;log_capacity_normalized;log_price_per_piece_normalized;log_estimation_discount_normalized;log_shelf_life_normalized;cluster;distance_to_new_product;same_cluster_as_new;new_product_first
富維克礦泉水500ml;飲料零食;792.0;;規格：500ml毫升x1x24Bottle瓶;富維克礦泉水500 ml;935.0;1;500.0;24.0;612;15.29%;0;10040021001;unique_master_match;1;1;ml;24;bottle;33.0;38.958333;15.294118;volume;month;15.29;0.0;38.0;25.0;21.0;13.0;24.0;2064.0;0;historical;6.2166061010848646;3.5263605246161616;2.7908041837917716;3.2188758248682006;-1.4935759876113537;0.054995351078896616;0.4147220397255254;0.7999422194543357;1.5349737149444564;143;1.1652199575625661;1;1
黃金康貝特能量飲料150ml;飲料零食;106.0;葡萄王;規格：150ml毫升x6x6BOTTLE瓶;黃金康貝特能量飲料150ml;128.0;1;150.0;25.0;310;17.19%;0;10022024001;unique_master_match;1;1;ml;6;bottle;17.666667;21.333333;17.1875;volume;month;17.19;0.0;31.0;20.0;16.0;7.01;24.0;606.0;0;historical;5.017279836814924;2.926739419924182;2.9007345449317112;3.258096538021482;-1.4935759876113537;-1.1704691801083993;-0.4249659465279897;0.8841205668821498;1.6449266367918967;13;1.1849167390035866;1;1
愛之味莎莎亞椰奶TP250ml;飲料零食;79.0;愛之味;規格：250ml毫升x1x6Bottle瓶;愛之味莎莎亞椰奶TP250ml;88.0;1;250.0;12.0;167;10.23%;0;10014067001;unique_master_match;1;1;ml;6;bottle;13.166667;14.666667;10.227273;volume;month;10.23;0.0;41.0;17.0;14.0;6.75;24.0;1746.0;0;historical;5.5254529391317835;2.650891810791673;2.418345907561159;2.5649493574615367;-1.4935759876113537;-0.6512208895093387;-0.811253089546926;0.5147350951095564;-0.298269996961929;193;1.2122013541290946;1;1
台鹽海洋鹼性離子水PET420ml*限量包裝,恕不指定(以實際出貨為主);飲料零食;450.0;台鹽;規格：420ml毫升x1x30BOTTLE瓶;台鹽海洋鹼性離子水PET420ml;480.0;1;420.0;12.0;618;6.25%;0;10040027001;unique_master_match;1;1;ml;30;bottle;15.0;16.0;6.25;volume;month;6.25;0.0;36.0;30.0;20.0;14.01;30.0;5428.0;0;historical;6.042632833682381;2.772588722239781;1.9810014688665833;2.5649493574615367;-1.4935759876113537;-0.12276951151775915;-0.6408330797982246;0.1798418797658034;-0.298269996961929;5;1.2631877162252858;1;1
濃韻烏龍茶(無糖) 600ml;飲料零食;20.0;濃韻;規格：600ml毫升x1x1Bottle瓶;濃韻烏龍茶Pet 600ml;25.0;1;600.0;12.0;398;20.00%;0;10030019001;unique_master_match;1;1;ml;1;bottle;20.0;25.0;20.0;volume;month;20.0;0.0;41.0;28.0;24.0;15.6;24.0;2360.0;0;historical;6.398594934535208;3.044522437723423;3.044522437723423;2.5649493574615367;-1.4935759876113537;0.24095047197446526;-0.2600268137042523;0.9942250645825259;-0.298269996961929;53;1.2741958451960944;1;1
[限量]黑松沙士330mlX6入;飲料零食;83.0;黑松沙士;規格：330ml毫升x1x6Bottle瓶;黑松沙士330ml;120.0;1;330.0;12.0;52;30.83%;0;10002018001;unique_master_match;1;1;ml;6;bottle;13.833333;20.0;30.833333;volume;month;30.83;0.0;41.0;27.0;12.0;9.27;24.0;49336.0;0;historical;5.802118375377063;2.6968768780321746;3.4605139483473706;2.5649493574615367;-1.4935759876113537;-0.368525772071521;-0.7468572432253652;1.3127674358183228;-0.298269996961929;166;1.2891745977897426;1;1
愛之味分解茶-秋薑黃(無糖) Pet590ml;飲料零食;129.0;愛之味;規格：590ml毫升x1x6Bottle瓶;愛之味分解茶-秋薑黃Pet590ml;168.0;1;590.0;12.0;584;23.21%;0;10035036001;unique_master_match;1;1;ml;6;bottle;21.5;28.0;23.214286;volume;month;23.21;0.0;39.0;26.0;24.0;15.67;24.0;1965.0;0;historical;6.3818160174060985;3.1135153092103742;3.186942789564602;2.5649493574615367;-1.4935759876113537;0.2238058730225106;-0.16341165978220168;1.1032823780831778;-0.298269996961929;53;1.302544540968042;1;1
魔爪芒果狂歡能量碳酸飲料355ml;飲料零食;158.0;Monster 魔爪;規格：355ml毫升x1x4BOTTLE瓶;魔爪芒果狂歡能量碳酸飲料can355ml;204.0;1;355.0;24.0;313;22.55%;0;10022910001;unique_master_match;1;1;ml;4;bottle;39.5;51.0;22.54902;volume;month;22.55;0.0;36.0;24.0;17.0;9.518;24.0;448.0;0;historical;5.87493073085203;3.7013019741124933;3.1590842060084467;3.2188758248682006;-1.4935759876113537;-0.2941265349956201;0.6597037995241656;1.0819498772060856;1.5349737149444564;42;1.3084258909622661;1;1
UCC無糖咖啡飲料Can184ml;飲料零食;119.0;UCC;規格：184ml毫升x1x6Bottle瓶;UCC無糖咖啡飲料Can184ml;166.0;1;184.0;12.0;259;28.31%;0;10020041001;unique_master_match;1;1;ml;6;bottle;19.833333;27.666667;28.313253;volume;month;28.31;0.0;33.0;27.0;11.0;6.17;30.0;8444.0;0;historical;5.220355825078324;3.036554252074246;3.3780397345759097;2.5649493574615367;-1.4935759876113537;-0.9629673283048842;-0.2711851763927846;1.2496134267829837;-0.298269996961929;89;1.3172025776116258;1;1
百事可樂600ml;飲料零食;99.0;百事可樂;規格：600ml毫升x1x4Bottle瓶;百事可樂 - 600ml;125.0;1;600.0;12.0;16;20.80%;0;10000023001;unique_master_match;1;1;ml;4;bottle;24.75;31.25;20.8;volume;month;20.8;0.0;43.0;28.0;25.0;16.27;24.0;673.333333;0;historical;6.398594934535208;3.248434627109745;3.0819099697950434;2.5649493574615367;-1.4935759876113537;0.24095047197446526;0.025524535870579346;1.0228542861329495;-0.298269996961929;53;1.3269449837187202;1;1
