item_code;item_role;is_new_product;log_capacity;log_price_per_piece;log_estimation_discount;log_shelf_life;Promo_normalized;log_capacity_normalized;log_price_per_piece_normalized;log_estimation_discount_normalized;log_shelf_life_normalized
10002911001;new;1;5.771441123130016;2.995732273553991;2.6835091170308125;2.9444389791664403;-1.4873201444615787;-0.4006531027701066;-0.33192432778101594;0.7089452897718296;0.7666234001518166
10000001001;historical;0;6.398594934535208;3.4339872044851463;0.0;2.302585092994046;0.6723502022908507;0.2423695565376432;0.2833041911319721;-1.3459289544768014;-1.0317136705034151
10000002001;historical;0;7.601402334583733;3.672072327322979;3.1483373452584478;2.302585092994046;0.6723502022908507;1.4756115443066435;0.6175314802294822;1.0648835454396692;-1.0317136705034151
10000003001;historical;0;5.802118375377063;2.627081114472157;2.737249327017494;2.5649493574615367;0.6723502022908507;-0.3691996252317134;-0.8494420796419785;0.750096397730177;-0.29662521350160326
10000004001;historical;0;7.601402334583733;3.6109179126442243;3.4584982427634188;2.5649493574615367;0.6723502022908507;1.4756115443066435;0.5316820412103668;1.3023866102927508;-0.29662521350160326
10000005001;historical;0;5.802118375377063;2.6968768780321746;2.612389086394101;2.5649493574615367;0.6723502022908507;-0.3691996252317134;-0.7514617918898343;0.6544857322178562;-0.29662521350160326
10000007001;historical;0;5.802118375377063;2.6968768780321746;2.541769538483213;2.302585092994046;-1.4873201444615787;-0.3691996252317134;-0.7514617918898343;0.6004094150473267;-1.0317136705034151
10000008001;historical;0;7.1316985104669115;3.4657359027997265;0.0;2.302585092994046;0.6723502022908507;0.9940228230424072;0.3278734663709148;-1.3459289544768014;-1.0317136705034151
10000010001;historical;0;7.601402334583733;3.672072327322979;3.1483373452584478;2.302585092994046;0.6723502022908507;1.4756115443066435;0.6175314802294822;1.0648835454396692;-1.0317136705034151
10000011001;historical;0;5.5254529391317835;2.3941001714115675;2.1658494866409748;2.5649493574615367;0.6723502022908507;-0.6528655159872415;-1.1765040484133786;0.31255183799466185;-0.29662521350160326
10000012001;historical;0;6.398594934535208;3.1463051320333655;3.2896448833340477;2.302585092994046;-1.4873201444615787;0.2423695565376432;-0.12054800278693913;1.1730885888535014;-1.0317136705034151
10000022001;historical;0;7.1316985104669115;3.4657359027997265;0.0;2.302585092994046;0.6723502022908507;0.9940228230424072;0.3278734663709148;-1.3459289544768014;-1.0317136705034151
10000023001;historical;0;6.398594934535208;3.248434627109745;3.0819099697950434;2.5649493574615367;-1.4873201444615787;0.2423695565376432;0.022822838151853698;1.014017348605647;-0.29662521350160326
10000027001;historical;0;6.398594934535208;3.4339872044851463;0.0;2.302585092994046;0.6723502022908507;0.2423695565376432;0.2833041911319721;-1.3459289544768014;-1.0317136705034151
10000998001;historical;0;5.860786223465865;2.86695146473072;2.4301301029317286;2.302585092994046;0.6723502022908507;-0.3090473069201985;-0.5127086628446724;0.5149224683843591;-1.0317136705034151
10001001001;historical;0;7.601402334583733;3.6109179126442243;3.444339275134706;2.5649493574615367;0.6723502022908507;1.4756115443066435;0.5316820412103668;1.291544501458187;-0.29662521350160326
10001004001;historical;0;7.601402334583733;3.6888794541139363;3.1354942159291497;2.302585092994046;0.6723502022908507;1.4756115443066435;0.6411255643868783;1.0550490285726168;-1.0317136705034151
10001005001;historical;0;5.802118375377063;2.627081114472157;2.8509577994055393;2.5649493574615367;0.6723502022908507;-0.3691996252317134;-0.8494420796419785;0.8371676917236114;-0.29662521350160326
10001006001;historical;0;5.802118375377063;2.6968768780321746;2.541769538483213;2.5649493574615367;0.6723502022908507;-0.3691996252317134;-0.7514617918898343;0.6004094150473267;-0.29662521350160326
10001007001;historical;0;6.398594934535208;3.1463051320333655;2.8804577763823516;2.302585092994046;0.6723502022908507;0.2423695565376432;-0.12054800278693913;0.8597570477689715;-1.0317136705034151
10001008001;historical;0;7.601402334583733;3.6635616461296463;2.1183103900513496;2.302585092994046;0.6723502022908507;1.4756115443066435;0.6055840646593031;0.2761491797898129;-1.0317136705034151
10001009001;historical;0;5.5053315359323625;2.3787742622396224;2.9355664714636855;2.5649493574615367;0.6723502022908507;-0.6734960502501288;-1.1980187781639766;0.9019560615297599;-0.29662521350160326
10001010001;historical;0;7.1316985104669115;3.6888794541139363;3.258096538021482;2.302585092994046;0.6723502022908507;0.9940228230424072;0.6411255643868783;1.148930712206083;-1.0317136705034151
10001012001;historical;0;5.5254529391317835;2.3941001714115675;2.1658494866409748;2.5649493574615367;0.6723502022908507;-0.6528655159872415;-1.1765040484133786;0.31255183799466185;-0.29662521350160326
10001015001;historical;0;6.398594934535208;3.1463051320333655;3.2896448833340477;2.302585092994046;0.6723502022908507;0.2423695565376432;-0.12054800278693913;1.1730885888535014;-1.0317136705034151
